
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,內思高工,5,0,2,0,1,0,0,4,38,0,1,0,0,51
,六家高中,0,0,0,0,0,0,0,1,2,0,1,0,0,4
,仰德高中,49,0,0,0,0,0,4,7,56,3,1,0,1,121
,竹北高中,40,2,3,0,4,1,6,11,11,6,8,0,0,92
,竹東高中,0,0,0,0,2,0,0,3,8,0,4,0,0,17
,忠信高中,1,0,0,0,0,0,1,3,15,0,1,0,0,21
,東泰高中,31,1,0,0,1,0,1,2,52,3,2,0,0,93
,湖口高中,2,0,0,0,1,0,3,0,5,0,3,0,0,14
,義民高中,0,0,1,0,4,0,1,3,30,0,2,0,1,42
,誠正中學,7,0,0,0,0,0,0,3,0,0,0,0,0,10
,關西高中,43,0,2,0,2,0,2,5,25,3,7,0,0,89
,總計,178,3,8,0,15,1,18,42,242,15,30,0,2,554
