
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,三育高中,1,0,0,0,0,1,0,0,0,0,0,0,2
,中興高中,0,2,0,0,2,0,0,3,0,0,0,0,7
,五育高中,0,0,0,0,0,1,0,0,1,0,0,0,2
,仁愛高農,1,0,0,0,1,1,0,16,0,0,0,0,19
,水里商工,30,0,2,0,2,1,0,17,1,0,0,0,53
,同德家商,8,1,1,1,2,3,3,45,0,0,0,1,65
,旭光高中,0,0,2,0,0,0,0,1,0,0,0,1,4
,竹山高中,31,0,0,0,2,1,0,11,1,1,0,0,47
,南投高中,0,3,1,0,1,1,0,7,0,0,0,0,13
,南投高商,14,0,0,1,2,1,0,6,0,0,0,3,27
,埔里高工,51,0,0,0,2,3,1,21,2,0,0,0,80
,草屯商工,40,0,2,0,2,2,1,19,2,2,0,0,70
,暨大附中,0,2,0,0,2,2,1,11,0,1,0,0,19
,總計,176,8,8,2,18,17,6,157,7,4,0,5,408
