
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三育高中,0,0,1,0,0,0,0,0,1,0,0,0,0,2
,中興高中,1,0,2,0,1,0,1,0,2,1,3,0,0,11
,五育高中,1,0,1,0,1,1,1,1,1,0,1,0,0,8
,仁愛高農,3,0,0,0,1,1,2,1,17,0,2,0,0,27
,水里商工,28,1,3,0,1,0,1,0,23,0,2,0,0,59
,同德家商,14,0,4,0,3,0,2,6,35,2,3,0,0,69
,旭光高中,0,0,0,0,0,0,0,0,0,2,0,0,0,2
,竹山高中,21,0,4,0,1,0,1,2,8,5,3,0,0,45
,南投高中,0,0,1,0,2,0,3,2,5,0,4,0,0,17
,南投高商,40,1,1,0,0,0,1,0,7,0,1,0,0,51
,埔里高工,34,0,1,0,0,0,0,4,30,2,3,0,1,75
,草屯商工,35,0,0,0,3,1,2,4,8,1,7,0,1,62
,普台高中,0,0,1,0,1,0,0,0,1,0,0,0,0,3
,暨大附中,0,1,0,0,3,1,1,1,8,0,0,0,0,15
,總計,177,3,19,0,17,4,15,21,146,13,29,0,2,446
