
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,三育高中,0,0,1,0,0,1,0,0,0,0,0,0,2
,中興高中,0,3,0,0,3,0,1,0,1,0,0,0,8
,五育高中,0,0,0,0,0,3,0,0,1,0,0,0,4
,仁愛高農,4,0,0,0,2,0,0,15,0,0,0,0,21
,水里商工,31,0,2,0,1,2,1,13,2,0,0,0,52
,同德家商,10,1,3,1,3,4,3,41,0,1,0,3,70
,旭光高中,0,0,1,0,0,0,0,1,0,0,0,0,2
,竹山高中,29,0,1,0,3,1,0,6,0,1,0,0,41
,南投高中,1,2,1,0,1,0,0,6,0,1,0,0,12
,南投高商,23,0,0,0,1,2,0,1,3,0,0,2,32
,埔里高工,56,0,0,0,2,1,3,29,4,0,0,0,95
,草屯商工,40,0,2,1,6,2,2,19,1,3,0,0,76
,暨大附中,0,2,0,0,3,2,2,7,0,0,0,1,17
,總計,194,8,11,2,25,18,12,138,12,6,0,6,432
