,縣市,附設校數總計,附設校數身心障礙類,附設校數資賦優異類,老師數總計,老師數身心障礙類,老師數資賦優異類,班級數總計,班級數身心障礙類小計,班級數身心障礙類集中式特教班,班級數身心障礙類分散式資源班,班級數身心障礙類巡迴輔導,班級數資賦優異類小計,班級數資賦優異類資優班(集中式),班級數資賦優異類美術班,班級數資賦優異類音樂班,班級數資賦優異類舞蹈班,班級數資賦優異類數理資源班,班級數資賦優異類資優巡迴輔導,學生人數總計,學生人數身心障礙類小計,學生人數身心障礙類集中式特教班,學生人數身心障礙類分散式資源班,學生人數身心障礙類巡迴輔導,學生人數身心障礙類接受特教服務,學生人數資賦優異類小計,學生人數資賦優異類資優班(集中式),學生人數資賦優異類美術班,學生人數資賦優異類音樂班,學生人數資賦優異類舞蹈班,學生人數資賦優異類數理資源班,學生人數資賦優異類資優巡迴輔導,學生人數資賦優異類資優方案
,總計,239,150,89,1563,780,783,824,406,297,108,1,418,200,2,93,93,27,3,25529,14681,3892,2731,18,8040,10848,5594,84,2245,2359,486,79,1
,台灣地區,238,149,89,1544,761,783,820,402,294,107,1,418,200,2,93,93,27,3,25468,14620,3867,2706,18,8029,10848,5594,84,2245,2359,486,79,1
,台北市,59,38,21,336,123,213,167,63,29,34,0,104,74,0,12,9,6,3,4524,1720,392,475,15,838,2804,2018,0,339,245,122,79,1
,高雄市,17,11,6,94,46,48,40,20,12,8,0,20,3,2,6,6,3,0,1465,934,178,163,0,593,531,92,84,127,174,54,0,0
,台北縣,14,8,6,120,92,28,61,37,34,3,0,24,6,0,6,12,0,0,1883,1251,490,66,0,695,632,163,0,139,330,0,0,0
,宜蘭縣,10,7,3,80,24,56,31,16,9,7,0,15,6,0,3,3,3,0,780,424,102,265,0,57,356,178,0,85,44,49,0,0
,桃園縣,17,8,9,70,42,28,55,21,17,4,0,34,7,0,12,12,3,0,1897,976,248,117,1,610,921,227,0,335,302,57,0,0
,新竹縣,3,2,1,18,17,1,8,5,4,1,0,3,0,0,0,0,3,0,346,301,57,17,0,227,45,0,0,0,0,45,0,0
,苗栗縣,5,3,2,27,24,3,16,10,9,1,0,6,0,0,6,0,0,0,580,451,110,23,0,318,129,0,0,129,0,0,0,0
,台中縣,9,7,2,54,51,3,40,33,27,6,0,7,1,0,3,3,0,0,1528,1334,355,205,0,774,194,30,0,78,86,0,0,0
,彰化縣,14,11,3,85,46,39,44,26,15,11,0,18,12,0,3,3,0,0,1479,977,205,335,0,437,502,342,0,70,90,0,0,0
,南投縣,8,5,3,44,33,11,23,15,13,2,0,8,2,0,3,3,0,0,615,395,166,49,0,180,220,66,0,78,76,0,0,0
,雲林縣,6,3,3,66,15,51,26,15,15,0,0,11,5,0,3,3,0,0,703,430,171,0,1,258,273,145,0,59,69,0,0,0
,嘉義縣,2,2,0,8,8,0,6,6,6,0,0,0,0,0,0,0,0,0,318,318,69,0,0,249,0,0,0,0,0,0,0,0
,台南縣,9,7,2,65,44,21,30,24,19,5,0,6,0,0,6,0,0,0,906,815,262,222,1,330,91,0,0,91,0,0,0,0
,高雄縣,7,4,3,32,23,9,27,15,13,2,0,12,3,0,3,6,0,0,1202,882,170,49,0,663,320,88,0,81,151,0,0,0
,屏東縣,8,6,2,80,40,40,35,22,18,4,0,13,7,0,3,3,0,0,904,539,198,85,0,256,365,193,0,89,83,0,0,0
,台東縣,4,3,1,17,13,4,9,6,5,1,0,3,0,0,3,0,0,0,281,231,64,29,0,138,50,0,0,50,0,0,0,0
,花蓮縣,5,3,2,41,13,28,26,11,9,2,0,15,9,0,3,3,0,0,655,315,98,55,0,162,340,254,0,44,42,0,0,0
,澎湖縣,2,1,1,17,11,6,12,6,5,1,0,6,0,0,3,3,0,0,109,64,33,25,0,6,45,0,0,27,18,0,0,0
,基隆市,3,2,1,22,18,4,12,6,6,0,0,6,0,0,3,3,0,0,375,233,91,0,0,142,142,0,0,77,65,0,0,0
,新竹市,7,4,3,46,29,17,35,14,11,2,1,21,15,0,3,3,0,0,1101,504,149,49,0,306,597,430,0,78,89,0,0,0
,台中市,16,7,9,122,31,91,63,19,12,7,0,44,26,0,3,12,3,0,1906,726,177,321,0,228,1180,719,0,92,306,63,0,0
,嘉義市,4,2,2,50,7,43,25,4,3,1,0,21,12,0,3,3,3,0,786,219,37,21,0,161,567,332,0,87,100,48,0,0
,台南市,9,5,4,50,11,39,29,8,3,5,0,21,12,0,3,3,3,0,1125,581,45,135,0,401,544,317,0,90,89,48,0,0
,金馬地區,1,1,0,19,19,0,4,4,3,1,0,0,0,0,0,0,0,0,61,61,25,25,0,11,0,0,0,0,0,0,0,0
,金門縣,1,1,0,19,19,0,4,4,3,1,0,0,0,0,0,0,0,0,54,54,25,25,0,4,0,0,0,0,0,0,0,0
,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,7,0,0,0,0,0,0,0,0
