
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民家商,34,3,5,0,4,0,4,0,16,2,9,0,3,80
,三民高中,0,0,0,0,0,0,1,0,1,1,0,0,0,3
,三信家商,77,1,5,0,10,0,9,6,113,4,16,0,2,243
,大榮高中,12,1,0,2,3,0,1,1,28,0,0,0,0,48
,小港高中,1,0,0,0,5,0,0,2,4,0,0,0,1,13
,中山大學附屬國光高中,0,0,1,0,1,0,0,0,0,1,1,0,0,4
,中山工商,115,2,4,0,11,0,12,4,95,11,7,0,2,263
,中山高中,0,0,0,0,3,0,3,0,0,0,3,0,1,10
,中正高工,0,0,1,0,4,0,3,4,22,0,7,0,0,41
,中正高中,0,1,0,0,1,0,0,0,3,0,2,0,0,7
,中華藝校,2,0,0,1,1,0,1,3,10,0,3,0,0,21
,仁武高中(高中部),0,1,0,0,0,0,0,0,0,0,0,0,0,1
,六龜高中(高中部),2,0,0,0,1,0,0,0,2,0,0,0,0,5
,天主教道明高級中學,0,0,0,0,0,0,1,0,1,0,1,0,0,3
,文山高中(高中部),1,0,0,0,0,0,0,1,0,0,3,0,1,6
,左營高中,1,0,1,1,3,0,1,0,0,0,2,0,0,9
,立志高中,57,4,5,1,11,0,7,2,116,2,17,0,1,223
,岡山高中,0,1,0,0,3,0,2,0,0,0,1,0,0,7
,岡山農工,36,2,3,0,7,0,3,1,39,4,5,0,0,100
,明誠高中,0,0,1,0,1,0,1,0,1,0,6,0,0,10
,林園高中(高中部),0,0,0,0,3,0,0,0,0,0,0,0,0,3
,前鎮高中,0,1,2,0,6,0,1,0,0,0,2,0,0,12
,海青工商,2,0,2,1,6,0,4,1,19,3,8,0,2,48
,高英工商,45,1,3,0,4,0,4,2,77,0,2,0,3,141
,高苑工商,51,1,0,0,4,0,3,1,50,2,1,0,0,113
,高師附中,0,1,2,2,5,0,2,0,0,0,1,0,1,14
,高雄女中,0,3,2,0,7,0,7,0,0,0,0,0,0,19
,高雄高工,1,0,5,0,7,0,6,1,10,0,9,0,1,40
,高雄高中,0,2,7,1,7,0,7,0,2,0,18,0,4,48
,高雄高商,0,3,5,0,7,0,4,0,7,0,5,0,1,32
,高鳳工家,41,0,2,1,0,0,0,2,8,5,3,0,0,62
,國際商工,1,0,1,0,1,0,0,1,6,0,2,0,0,12
,復華高中,0,0,1,0,2,0,2,0,16,1,0,0,0,22
,普門高中,1,0,0,0,2,0,0,1,0,0,0,0,0,4
,華德工家,4,0,1,0,4,0,2,0,27,0,0,0,0,38
,新光高中,1,0,0,0,0,0,0,0,3,1,0,0,0,5
,新莊高中,0,2,2,0,3,0,4,1,0,0,2,0,1,15
,新興高中,0,0,0,0,1,0,1,0,0,0,0,0,0,2
,楠梓高中,0,0,0,0,1,0,3,0,1,0,2,0,1,8
,瑞祥高中,0,0,1,0,0,0,4,0,0,0,0,0,1,6
,義大國際高中,0,0,0,0,0,0,1,0,0,0,1,0,0,2
,路竹高中(高中部),0,0,0,0,1,0,1,0,1,0,0,0,0,3
,鼓山高中,0,2,0,0,2,0,0,0,1,0,1,0,0,6
,旗山農工,2,1,0,0,3,0,4,0,21,0,1,0,0,32
,旗美高中,0,0,1,0,2,0,0,0,3,0,1,0,0,7
,旗美商工,51,0,2,0,0,0,1,0,8,0,1,0,0,63
,福誠高中,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,鳳山高中,0,2,3,1,0,0,6,1,0,1,4,0,1,19
,鳳山商工,38,1,0,0,6,0,4,2,19,3,6,0,0,79
,鳳新高中,0,4,0,0,4,0,2,0,0,1,2,0,1,14
,樹德家商,47,3,7,2,7,0,8,3,129,6,9,0,3,224
,總計,623,43,75,13,164,0,131,40,859,48,164,0,31,2191
