
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,中道高中,0,1,2,0,0,0,0,0,1,0,0,0,0,4
,宜蘭大學附設高職進修學校,0,0,0,0,1,0,5,1,0,0,0,0,0,7
,宜蘭高中,0,2,0,0,3,0,0,2,2,0,8,0,0,17
,宜蘭高商,1,1,2,0,4,0,5,9,7,3,2,0,0,34
,南澳高中,1,0,1,0,0,0,1,1,3,0,0,0,0,7
,慧燈高中,0,0,0,0,0,0,0,0,1,0,1,0,0,2
,頭城家商,60,1,4,0,2,0,4,8,47,6,9,0,0,141
,羅東高工,40,1,3,0,0,0,2,9,52,5,15,0,2,129
,羅東高中,0,1,1,0,3,0,0,3,2,1,10,0,1,22
,羅東高商,4,2,5,0,4,0,1,5,36,1,2,0,0,60
,蘇澳海事,8,1,0,1,0,0,3,6,41,0,10,0,1,71
,蘭陽女中,0,0,0,0,2,0,1,0,1,0,1,0,0,5
,總計,114,10,18,1,19,0,22,44,193,16,58,0,4,499
