
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,中道高中,0,0,2,0,0,1,0,2,0,0,0,0,5
,宜蘭大學附設高職進修學校,1,0,0,0,2,4,1,1,0,0,0,0,9
,宜蘭高中,0,0,0,0,2,0,0,2,0,10,0,0,14
,宜蘭高商,0,0,2,1,7,8,6,18,1,3,0,2,48
,南澳高中,7,0,0,0,0,1,2,7,0,0,0,0,17
,慧燈高中,0,0,0,0,1,1,0,0,0,0,0,0,2
,頭城家商,75,3,5,0,4,5,7,50,8,5,0,0,162
,羅東高工,35,0,3,0,1,3,10,44,9,12,0,1,118
,羅東高中,0,3,0,2,1,4,3,5,0,6,0,0,24
,羅東高商,6,1,4,0,8,3,7,38,1,4,0,1,73
,蘇澳海事,3,0,1,1,0,1,3,30,0,2,0,1,42
,蘭陽女中,0,0,1,1,0,1,1,0,0,0,0,0,4
,總計,127,7,18,5,26,32,40,197,19,42,0,5,518
