
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,二信高中,3,0,1,1,1,3,1,1,0,0,0,1,12
,八斗高中,1,0,0,0,0,0,1,1,0,0,0,0,3
,中山高中,0,1,0,0,1,1,2,0,0,0,0,0,5
,光隆家商,10,0,2,2,3,4,1,6,3,1,0,0,32
,安樂高中,0,0,0,0,1,0,2,0,0,1,0,0,4
,基隆女中,1,0,0,0,1,1,2,0,0,1,0,0,6
,基隆海事,37,2,1,0,1,2,8,20,5,9,0,1,86
,基隆高中,0,0,0,1,0,0,1,1,0,2,0,1,6
,基隆商工,36,6,2,1,3,4,6,5,10,5,0,1,79
,培德工家,3,1,0,0,0,1,2,7,0,1,0,0,15
,暖暖高中,0,1,0,0,0,1,1,0,0,2,0,0,5
,聖心高中,5,0,0,0,2,3,7,3,0,3,0,0,23
,總計,96,11,6,5,13,20,34,44,18,25,0,4,276
