
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,二信高中,2,0,1,0,1,0,2,3,1,0,0,0,1,11
,八斗高中,2,0,0,0,1,0,0,1,1,0,0,0,0,5
,中山高中,0,0,0,0,2,0,1,1,0,0,0,0,0,4
,光隆家商,7,0,1,2,3,0,5,1,5,2,4,0,0,30
,安樂高中,0,0,0,0,0,0,0,1,0,0,1,0,0,2
,基隆女中,0,0,0,0,0,0,1,3,0,0,1,0,1,6
,基隆海事,40,2,0,0,2,0,1,8,16,5,8,0,0,82
,基隆高中,0,0,0,1,0,0,0,2,0,0,3,0,1,7
,基隆商工,38,5,3,0,5,0,5,8,3,8,3,0,1,79
,培德工家,7,1,0,0,0,0,1,5,10,0,1,0,0,25
,暖暖高中,0,0,0,0,0,0,1,1,0,0,1,0,0,3
,聖心高中,4,0,3,0,1,0,3,8,4,1,1,0,0,25
,總計,100,8,8,3,15,0,20,42,40,16,23,0,4,279
