
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大成高中,8,0,1,1,2,2,1,14,0,1,0,1,31
,大湖農工,31,0,2,0,2,0,1,28,0,0,0,0,64
,中興商工,8,2,1,0,1,1,0,35,0,0,0,1,49
,竹南高中,0,3,0,0,1,2,0,0,0,1,0,0,7
,君毅高中,43,0,1,0,1,2,0,19,3,0,0,1,70
,育民工家,15,0,1,1,1,2,0,19,1,1,0,1,42
,卓蘭實驗高中,0,1,0,1,2,3,0,5,0,0,0,0,12
,建台高中,2,0,0,0,2,4,1,3,1,2,0,1,16
,苗栗高中,0,2,0,0,1,3,0,2,1,1,0,0,10
,苗栗高商,0,2,1,0,1,4,0,8,0,2,0,1,19
,苗栗農工,46,0,5,0,1,2,1,28,2,0,0,1,86
,苑裡高中,0,0,2,0,1,0,0,0,0,0,0,0,3
,賢德工商,8,0,0,0,0,3,0,3,0,0,0,1,15
,縣立苑裡高中,1,0,0,0,0,0,0,0,0,0,0,0,1
,興華高中,0,0,0,0,1,0,0,3,1,1,0,0,6
,龍德家商,44,0,2,1,0,2,1,18,5,0,0,0,73
,總計,206,10,16,4,17,30,5,185,14,9,0,8,504
