
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三義高中,2,0,0,0,0,0,0,0,10,0,0,0,0,12
,大同高中,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,大成高中,25,0,1,0,0,0,1,3,23,3,2,0,1,59
,大湖農工,39,0,0,0,0,0,1,1,41,1,1,0,0,84
,中興商工,24,0,0,1,3,0,3,1,88,0,0,0,0,120
,竹南高中,0,0,1,0,2,1,3,0,2,0,5,0,0,14
,君毅高中,54,0,1,0,1,0,7,3,41,1,2,0,0,110
,育民工家,9,0,1,1,1,0,0,0,33,0,2,0,0,47
,卓蘭實驗高中,3,1,0,0,2,0,1,0,16,0,0,0,0,23
,建台高中,2,1,1,0,4,0,2,0,2,0,0,0,0,12
,苗栗高中,0,2,0,1,1,1,1,2,5,0,2,0,0,15
,苗栗高商,1,0,1,0,3,0,2,0,9,1,2,0,0,19
,苗栗農工,36,2,4,1,0,0,2,1,75,1,3,0,0,125
,苑裡高中,0,0,2,1,4,0,0,0,0,0,0,0,0,7
,苑裡高中,0,0,0,0,0,0,0,0,3,0,1,0,0,4
,賢德工商,2,0,0,0,0,0,2,0,6,0,0,0,0,10
,興華高中,0,0,0,0,2,0,1,0,5,0,1,0,0,9
,龍德家商,39,0,0,1,0,0,0,0,24,2,1,0,0,67
,總計,236,6,12,6,23,2,27,11,383,9,22,0,1,738
