
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,大成高中,18,0,0,0,3,1,0,20,0,1,0,0,43
,大湖農工,3,0,1,1,4,0,0,20,0,0,0,0,29
,中興商工,10,0,0,1,2,1,1,22,0,0,0,0,37
,竹南高中,0,1,0,0,1,1,0,0,0,0,0,0,3
,君毅高中,49,0,0,0,6,1,0,11,3,0,0,1,71
,育民工家,23,0,1,1,3,3,0,16,0,0,0,0,47
,卓蘭實驗高中,0,1,0,0,3,0,0,6,0,0,0,0,10
,建台高中,3,0,0,0,4,3,1,3,1,4,0,0,19
,苗栗高中,0,0,0,0,2,2,0,1,1,1,0,0,7
,苗栗高商,0,2,0,0,5,1,0,8,0,0,0,3,19
,苗栗農工,39,0,3,0,1,1,1,16,2,0,0,0,63
,苑裡高中,0,1,0,0,0,1,0,0,0,0,0,0,2
,賢德工商,4,0,0,0,0,0,0,4,0,0,0,1,9
,縣立苑裡高中,0,0,0,0,0,0,0,3,0,0,0,0,3
,興華高中,1,0,0,0,0,0,0,1,0,1,0,0,3
,龍德家商,54,1,1,1,5,4,1,25,2,0,0,1,95
,總計,204,6,6,4,39,19,4,156,9,7,0,6,460
