
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,土城高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,六信高中,4,0,1,0,0,1,1,25,0,0,0,0,32
,台南一中,0,3,5,1,7,7,0,2,2,6,0,4,37
,台南二中,0,4,2,0,2,0,3,1,1,2,0,1,16
,台南女中,0,4,5,0,6,7,0,0,1,0,0,0,23
,台南海事,3,1,6,0,0,0,2,25,0,1,0,0,38
,台南高商,45,2,6,0,6,2,1,20,1,5,0,0,88
,光華女中,2,0,1,0,1,2,1,11,1,0,0,0,19
,成大附工,0,0,0,0,1,1,2,6,1,0,0,1,12
,亞洲餐旅,3,0,1,0,0,1,2,27,0,0,0,0,34
,長榮女中,3,1,3,2,3,4,4,21,1,0,0,0,42
,長榮高中,0,0,1,0,4,6,3,11,0,1,0,0,26
,南英商工,7,0,1,3,5,7,1,49,3,0,0,0,76
,南寧中學,0,0,0,0,0,0,0,0,0,0,0,1,1
,家齊女中,0,2,4,0,0,2,3,13,0,1,0,0,25
,崑山高中,4,0,5,0,3,6,9,56,1,0,0,1,85
,慈幼工商,4,0,1,0,3,1,4,67,0,2,0,0,82
,慈濟高中,0,0,1,0,0,1,0,1,0,0,0,0,3
,聖功女中,0,0,0,0,0,1,0,0,1,0,0,0,2
,德光女中,0,0,0,0,2,1,0,1,0,0,0,0,4
,瀛海高中,0,0,1,0,2,0,0,0,0,0,0,0,3
,總計,75,17,44,6,45,50,36,337,13,18,0,8,649
