
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,土城高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,六信高中,5,0,1,0,0,1,0,25,0,0,0,0,32
,台南一中,0,3,5,1,7,6,0,2,2,6,0,4,36
,台南二中,0,4,2,0,2,0,3,1,1,2,0,1,16
,台南女中,0,4,5,0,6,6,0,0,1,1,0,0,23
,台南海事,3,1,6,0,0,0,2,25,0,1,0,0,38
,台南高商,45,2,6,0,6,2,1,20,1,5,0,0,88
,光華女中,2,0,1,0,1,2,0,11,1,0,0,0,18
,成大附工,0,0,0,0,1,1,2,6,1,0,0,0,11
,亞洲餐旅,3,0,1,0,0,2,2,29,0,0,0,0,37
,長榮女中,3,1,3,2,3,4,4,21,1,0,0,0,42
,長榮高中,1,0,1,0,4,7,3,11,0,1,0,0,28
,南英商工,7,0,1,3,5,7,2,46,3,1,0,0,75
,南寧高中,0,0,0,0,0,0,0,0,0,0,0,1,1
,家齊女中,0,2,4,0,0,2,2,12,0,1,0,0,23
,崑山高中,3,0,5,0,6,6,7,55,1,0,0,1,84
,慈幼工商,4,0,1,0,2,1,4,67,0,2,0,0,81
,慈濟高中,0,0,1,0,0,1,0,1,0,0,0,0,3
,聖功女中,0,0,0,0,0,1,0,0,1,0,0,0,2
,德光女中,0,0,0,0,2,1,0,1,0,0,0,0,4
,瀛海高中,0,0,1,0,2,0,0,0,0,0,0,0,3
,總計,76,17,44,6,47,50,32,334,13,20,0,7,646
