
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,二林工商,47,2,0,0,2,2,0,25,1,0,0,1,80
,二林高中,0,0,0,0,1,0,2,0,0,0,0,0,3
,大慶商工,45,0,3,1,6,13,2,60,2,1,0,0,133
,文興高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,北斗家商,18,0,6,0,4,1,0,17,1,0,0,1,48
,正德高中,3,1,0,0,4,1,0,4,0,0,0,5,18
,永靖高工,3,0,0,0,2,2,0,19,0,0,0,1,27
,秀水高工,78,0,5,0,3,1,2,34,4,2,0,1,130
,員林家商,39,0,4,0,0,3,1,23,4,0,0,0,74
,員林高中,0,3,2,0,3,3,1,0,1,1,0,0,14
,員林農工,16,0,2,0,1,5,0,26,0,0,0,1,51
,崇實高工,3,0,2,0,2,4,0,15,0,1,0,1,28
,鹿港高中,1,2,1,0,7,2,1,17,1,0,0,1,33
,溪湖高中,0,0,10,0,3,1,0,10,2,0,0,0,26
,達德商工,48,3,10,3,8,10,3,83,3,0,0,6,177
,彰化女中,0,1,1,0,5,8,0,0,0,0,0,1,16
,彰化師大附屬高工,0,0,3,0,2,0,1,29,0,0,0,2,37
,彰化高中,0,5,6,1,4,2,1,1,0,1,0,0,21
,彰化高商,36,1,2,1,6,3,1,18,0,2,0,2,72
,彰化藝術高中,0,0,1,0,1,1,0,0,0,0,0,0,3
,精誠高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,總計,337,18,58,6,65,63,15,381,19,8,0,23,993
