
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,二林工商,45,1,0,0,3,2,0,25,1,0,0,1,78
,二林高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,大慶商工,52,0,3,3,6,9,3,59,0,1,0,3,139
,文興高中,0,0,0,0,0,0,0,0,1,0,0,0,1
,北斗家商,6,1,5,0,3,2,0,14,0,0,0,1,32
,正德高中,3,1,0,1,4,1,0,5,0,0,0,6,21
,永靖高工,3,0,0,0,0,1,0,17,0,0,0,1,22
,秀水高工,81,0,3,0,1,4,1,32,6,1,0,1,130
,員林家商,41,0,3,0,0,4,0,22,3,0,0,1,74
,員林高中,0,4,2,0,3,3,0,0,1,1,0,0,14
,員林農工,5,0,2,0,1,4,1,26,0,0,0,1,40
,崇實高工,1,0,3,0,2,4,0,19,0,0,0,1,30
,鹿港高中,0,4,0,0,6,2,0,20,1,0,0,1,34
,溪湖高中,0,0,10,0,2,4,0,10,1,0,0,1,28
,達德商工,46,3,9,3,11,10,3,101,4,0,0,5,195
,彰化女中,0,2,3,0,2,7,0,0,0,0,0,1,15
,彰化師大附屬高工,0,0,3,0,2,1,0,25,0,0,0,2,33
,彰化高中,1,3,4,0,4,2,0,0,0,1,0,2,17
,彰化高商,38,0,2,1,6,4,0,15,1,3,0,2,72
,彰化藝術高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,總計,322,19,52,8,58,64,8,390,19,7,0,30,977
