
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,二林工商,45,1,0,0,3,2,0,26,1,0,0,1,79
,二林高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,大慶商工,57,1,4,3,6,10,3,65,2,1,0,3,155
,文興高中,0,0,0,0,0,1,0,0,1,0,0,0,2
,北斗家商,6,1,5,0,3,2,0,14,0,0,0,1,32
,正德高中,2,1,0,1,4,1,0,5,0,0,0,5,19
,永靖高工,4,0,0,0,0,1,0,16,0,0,0,1,22
,秀水高工,81,0,3,0,1,4,1,32,6,1,0,1,130
,員林家商,38,0,3,0,0,4,0,22,3,0,0,1,71
,員林高中,0,4,2,0,3,3,0,0,1,1,0,0,14
,員林農工,5,0,3,0,1,4,1,26,0,0,0,1,41
,崇實高工,1,0,3,0,2,4,0,19,0,0,0,1,30
,鹿港高中,0,4,0,0,6,2,0,20,1,0,0,1,34
,溪湖高中,0,0,10,0,2,4,0,10,1,0,0,1,28
,達德商工,54,4,8,2,10,11,3,116,5,0,0,5,218
,彰化女中,0,2,3,0,2,8,0,0,0,0,0,1,16
,彰化師大附屬高工,0,0,3,0,2,1,0,25,0,0,0,2,33
,彰化高中,1,2,4,0,4,2,0,0,0,1,0,2,16
,彰化高商,39,0,2,1,6,4,0,16,1,3,0,3,75
,彰化藝術高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,總計,333,20,53,7,57,68,8,412,22,7,0,30,1017
