
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,二林工商,47,2,0,1,3,3,0,26,1,0,0,1,84
,二林高中,0,0,0,0,1,0,1,0,0,0,0,0,2
,大慶商工,47,0,3,1,6,13,3,64,2,1,0,1,141
,文興高中,0,0,0,0,1,2,0,0,0,0,0,0,3
,北斗家商,18,0,6,0,4,1,0,18,1,0,0,1,49
,正德高中,3,1,0,0,3,1,0,4,0,0,0,5,17
,永靖高工,3,0,0,0,2,3,1,19,0,0,0,1,29
,秀水高工,79,0,5,0,3,1,2,34,4,2,0,1,131
,員林家商,39,0,4,0,0,3,1,23,3,0,0,0,73
,員林高中,0,3,2,0,3,3,1,0,1,1,0,0,14
,員林農工,17,0,2,0,1,5,0,27,0,0,0,1,53
,崇實高工,3,0,3,0,2,4,0,15,0,1,0,1,29
,鹿港高中,1,2,1,0,7,1,1,18,1,0,0,1,33
,溪湖高中,0,0,10,0,3,1,0,10,2,0,0,0,26
,達德商工,47,3,10,3,8,11,6,90,2,0,0,6,186
,彰化女中,0,1,1,0,4,8,0,0,0,0,0,1,15
,彰化師大附屬高工,0,0,3,0,2,1,1,30,0,0,0,2,39
,彰化高中,0,4,6,1,3,2,1,1,0,1,0,0,19
,彰化高商,37,1,2,1,6,4,1,18,0,2,0,2,74
,彰化藝術高中,0,0,1,0,1,1,0,0,0,0,0,0,3
,精誠高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,總計,341,17,59,7,63,69,19,397,17,8,0,24,1021
