
,教育階段：高中職,製表日期：2018/5/28
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,仁義高中,0,0,0,0,0,0,0,1,2,0,0,0,0,3
,立仁高中,1,0,0,0,0,0,0,0,1,0,1,0,0,3
,宏仁女中,0,0,1,0,0,0,0,0,0,0,0,0,0,1
,東吳工家,28,2,2,0,0,0,6,5,88,0,1,0,3,135
,華南高商,0,2,1,0,4,1,2,0,8,2,3,0,0,23
,嘉華高中,0,0,0,0,0,0,1,2,1,0,0,0,0,4
,嘉義女中,0,2,2,0,6,0,2,0,0,0,0,0,0,12
,嘉義家職,37,0,5,1,2,0,1,0,27,0,0,0,0,73
,嘉義高工,38,2,7,1,4,1,2,4,33,5,12,0,1,110
,嘉義高中,0,1,0,1,2,0,2,0,1,0,3,0,1,11
,嘉義高商,1,2,3,0,7,1,5,0,6,1,2,0,1,29
,輔仁高中,0,0,1,0,1,0,0,0,2,0,1,0,0,5
,興華高中,1,0,1,0,1,0,0,1,3,0,1,0,0,8
,總計,106,11,23,3,27,3,21,13,172,8,24,0,6,417
