
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大同高商,2,0,0,0,0,0,0,0,1,0,0,0,0,3
,仁義高中,3,1,0,0,0,0,1,0,9,0,0,0,1,15
,立仁高中,0,0,0,0,1,0,0,1,4,0,1,0,3,10
,宏仁女中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,東吳工家,31,1,1,1,10,0,3,4,50,3,0,0,0,104
,華南高商,2,1,0,0,4,0,2,0,5,0,2,0,0,16
,嘉華高中,0,0,0,0,0,0,0,0,1,0,1,0,0,2
,嘉義女中,0,0,1,0,7,0,2,0,0,0,1,0,1,12
,嘉義家職,37,3,4,1,2,0,2,2,22,3,1,0,1,78
,嘉義高工,17,1,2,0,3,0,4,2,40,2,3,0,3,77
,嘉義高中,1,4,1,0,8,0,3,1,2,3,1,0,0,24
,嘉義高商,0,0,2,1,3,0,0,1,6,0,2,0,0,15
,輔仁高中,0,0,0,1,0,0,0,0,0,0,0,0,0,1
,興華高中,1,1,1,1,0,0,2,2,3,1,1,0,0,13
,總計,94,12,12,5,39,0,19,13,143,12,13,0,9,371
