
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大同高商,3,0,0,0,0,0,0,1,0,0,0,0,4
,仁義高中,2,1,0,0,0,1,0,9,0,0,0,0,13
,立仁高中,1,2,0,0,1,0,0,5,0,1,0,4,14
,宏仁女中,0,0,0,0,1,0,0,0,0,0,0,0,1
,東吳工家,32,3,2,1,12,2,3,35,2,0,0,2,94
,華南高商,0,1,1,0,4,2,0,6,0,2,0,1,17
,嘉華高中,0,0,0,0,0,0,0,1,0,1,0,1,3
,嘉義女中,0,1,0,0,4,0,0,0,0,1,0,1,7
,嘉義家職,37,2,3,0,0,2,0,13,4,0,0,1,62
,嘉義高工,7,0,1,0,1,4,3,32,1,2,0,0,51
,嘉義高中,1,3,1,1,5,3,1,2,3,2,0,0,22
,嘉義高商,0,0,2,0,2,0,1,6,1,2,0,0,14
,輔仁高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,興華高中,2,1,1,1,0,1,2,0,0,1,0,0,9
,總計,85,14,11,3,31,15,10,110,11,12,0,10,312
