
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,大同高商,1,0,0,0,0,0,0,1,0,0,0,0,2
,仁義高中,1,1,0,0,0,0,0,2,0,0,0,0,4
,立仁高中,1,1,0,0,1,2,0,2,1,0,0,0,8
,宏仁女中,0,1,0,0,1,0,0,0,0,0,0,0,2
,東吳工家,20,1,0,0,6,3,2,36,1,0,0,3,72
,華南高商,0,0,2,0,2,0,0,2,0,0,0,0,6
,嘉華高中,1,0,0,0,1,1,0,0,0,0,0,0,3
,嘉義女中,0,1,3,0,2,3,0,0,0,0,0,1,10
,嘉義家職,35,1,4,0,1,2,1,2,3,0,0,3,52
,嘉義高工,4,1,6,0,2,1,1,12,1,1,0,2,31
,嘉義高中,0,1,2,0,8,3,0,0,0,2,0,1,17
,嘉義高商,1,2,2,0,1,0,0,1,0,0,0,3,10
,輔仁高中,0,0,0,0,0,0,0,0,0,0,0,1,1
,興華高中,3,3,3,0,2,0,0,1,1,1,0,0,14
,總計,67,13,22,0,27,15,4,59,7,4,0,14,232
