
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,仁義高中,1,1,0,0,0,0,0,2,0,0,0,0,4
,立仁高中,0,1,0,0,1,2,0,3,1,0,0,0,8
,宏仁女中,0,0,0,0,1,0,0,0,0,0,0,0,1
,東吳工家,20,2,1,2,9,4,2,28,1,0,0,2,71
,華南高商,0,0,1,0,2,0,0,0,0,0,0,0,3
,嘉華高中,0,0,0,0,0,2,0,0,0,0,0,0,2
,嘉義女中,0,1,4,1,3,3,0,0,0,0,0,1,13
,嘉義家職,36,2,5,0,0,3,0,2,2,0,0,2,52
,嘉義高工,2,1,6,0,1,2,1,11,1,0,0,1,26
,嘉義高中,0,1,2,0,9,4,0,0,0,2,0,0,18
,嘉義高商,0,2,1,0,1,0,0,0,0,0,0,2,6
,輔仁高中,0,0,0,0,0,1,0,0,0,0,0,1,2
,興華高中,1,2,2,0,6,0,0,1,0,1,0,0,13
,總計,60,13,22,3,33,21,3,47,5,3,0,9,219
