
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,大同高商,1,0,0,0,0,0,0,0,0,0,0,0,1
,仁義高中,2,1,0,0,0,0,0,2,0,0,0,0,5
,立仁高中,0,1,0,0,1,2,0,3,1,0,0,0,8
,宏仁女中,0,0,0,0,1,0,0,0,0,0,0,0,1
,東吳工家,22,2,1,2,8,4,2,30,1,0,0,2,74
,華南高商,0,0,1,0,3,0,0,1,0,0,0,0,5
,嘉華高中,0,0,0,0,0,2,0,0,0,0,0,0,2
,嘉義女中,0,1,4,1,2,3,0,0,0,0,0,1,12
,嘉義家職,37,2,5,0,0,3,0,1,2,0,0,2,52
,嘉義高工,2,0,6,0,1,2,0,10,1,0,0,2,24
,嘉義高中,0,1,2,0,7,3,1,0,0,2,0,0,16
,嘉義高商,0,2,1,0,1,0,0,0,0,0,0,2,6
,輔仁高中,0,0,0,0,0,1,0,0,0,0,0,1,2
,興華高中,1,2,2,0,7,0,1,1,0,1,0,0,15
,總計,65,12,22,3,31,20,4,48,5,3,0,10,223
