
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大同高商,2,0,0,0,0,0,0,2,0,0,0,0,4
,仁義高中,1,1,0,0,0,1,0,3,0,0,0,0,6
,立仁高中,2,2,0,0,0,0,0,5,0,1,0,2,12
,宏仁女中,0,1,0,0,2,0,0,0,0,0,0,0,3
,東吳工家,19,3,0,1,11,1,1,21,2,0,0,3,62
,華南高商,0,1,3,0,2,1,0,6,0,1,0,1,15
,嘉華高中,1,0,0,0,1,0,0,0,0,0,0,1,3
,嘉義女中,0,1,0,0,3,1,0,0,0,0,0,0,5
,嘉義家職,33,1,1,0,0,2,0,6,5,0,0,2,50
,嘉義高工,7,0,3,0,2,1,0,26,1,1,0,2,43
,嘉義高中,1,2,3,1,4,2,0,1,1,2,0,1,18
,嘉義高商,1,0,2,0,1,0,0,4,1,1,0,1,11
,輔仁高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,興華高中,4,2,0,1,0,1,1,0,1,0,0,0,10
,總計,71,14,12,3,27,10,2,74,11,6,0,13,243
