
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,仁義高中,3,0,0,0,0,0,0,1,0,0,0,0,0,4
,立仁高中,1,0,0,0,0,0,0,1,1,0,1,0,0,4
,東吳工家,22,1,0,1,1,0,5,3,52,1,1,0,1,88
,華南高商,0,1,1,0,2,0,2,0,7,1,1,0,0,15
,嘉義女中,0,1,2,0,5,0,2,0,0,0,0,0,0,10
,嘉義家職,37,1,4,1,2,0,2,0,26,0,3,0,0,76
,嘉義高工,35,2,3,1,3,2,1,7,39,5,12,0,0,110
,嘉義高中,1,1,2,1,4,0,4,0,0,1,1,0,0,15
,嘉義高商,1,1,0,0,6,0,3,0,4,0,1,0,1,17
,輔仁高中,0,0,0,1,0,0,1,0,1,0,0,0,0,3
,興華高中,1,0,3,0,1,1,1,0,3,0,0,0,0,10
,總計,101,8,15,5,24,3,21,12,133,8,20,0,2,352
