
,教育階段：高中職,製表日期：2018/10/20
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,上騰工商,6,0,1,1,2,0,0,5,19,0,5,0,0,39
,四維高中,12,1,4,0,2,0,0,3,44,1,3,0,0,70
,玉里高中,22,0,1,1,1,0,1,3,12,0,2,0,0,43
,光復商工,6,0,0,0,2,0,2,1,9,1,1,0,0,22
,花蓮女中,0,0,0,0,0,0,1,0,1,0,0,0,0,2
,花蓮高工,1,0,3,0,1,0,1,5,47,0,9,0,0,67
,花蓮高中,0,0,2,2,3,0,2,1,1,0,5,0,0,16
,花蓮高商,0,0,1,0,2,0,0,1,4,0,1,0,0,9
,花蓮高農,55,1,0,0,1,2,0,5,44,3,7,0,0,118
,海星高中,1,0,0,0,0,0,2,1,9,1,2,0,0,16
,慈濟附中,0,0,0,0,0,0,1,1,0,0,0,0,0,2
,體育高中,0,0,0,0,0,0,0,0,4,0,0,0,0,4
,總計,103,2,12,4,14,2,10,26,194,6,35,0,0,408
