
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,中華工商,6,0,0,1,2,2,1,10,0,0,0,5,27
,四維高中,8,2,0,1,5,8,3,14,1,1,0,1,44
,玉里高中,29,0,0,0,5,1,0,4,1,0,0,0,40
,光復商工,7,0,0,1,1,0,0,7,1,0,0,0,17
,花蓮女中,0,0,2,0,2,3,0,0,0,0,0,0,7
,花蓮高工,4,0,1,1,1,2,5,15,1,2,0,0,32
,花蓮高中,0,1,0,0,1,4,1,0,0,0,0,0,7
,花蓮高商,0,0,0,1,2,4,1,3,1,0,0,0,12
,花蓮高農,78,0,2,1,3,2,2,13,8,1,0,0,110
,海星高中,1,0,0,0,3,1,0,0,1,0,0,1,7
,國光商工,8,0,0,0,1,0,3,7,0,0,0,0,19
,慈濟附中,0,1,0,0,0,0,0,0,0,0,0,0,1
,體育實驗高中,0,0,0,0,0,1,0,4,0,0,0,0,5
,總計,141,4,5,6,26,28,16,77,14,4,0,7,328
