
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,中華工商,3,0,0,1,1,1,1,13,0,0,0,2,22
,四維高中,7,2,0,0,5,8,3,17,1,1,0,0,44
,玉里高中,24,0,0,0,4,2,0,7,1,0,0,2,40
,光復商工,6,0,0,0,1,0,0,5,1,0,0,0,13
,花蓮女中,0,1,1,0,2,2,0,0,0,0,0,0,6
,花蓮高工,1,0,1,0,0,2,3,16,0,2,0,0,25
,花蓮高中,0,1,1,0,2,4,1,0,0,0,0,0,9
,花蓮高商,0,0,0,0,0,1,1,2,1,1,0,0,6
,花蓮高農,77,0,2,0,2,5,1,15,6,3,0,1,112
,海星高中,0,0,0,0,1,1,1,0,1,1,0,0,5
,國光商工,3,0,0,0,0,0,2,4,0,0,0,0,9
,慈濟附中,0,1,0,0,0,0,0,0,0,0,0,0,1
,體育實驗高中,0,0,0,0,0,1,0,4,0,0,0,0,5
,總計,121,5,5,1,18,27,13,83,11,8,0,5,297
