
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,中華工商,14,0,0,0,0,2,1,24,0,1,0,0,42
,四維高中,11,0,2,0,5,3,3,11,2,1,0,2,40
,玉里高中,25,1,0,0,1,1,2,9,4,1,0,1,45
,光復商工,8,0,1,0,0,1,0,7,0,0,0,0,17
,花蓮女中,0,1,0,0,2,1,0,0,0,0,0,0,4
,花蓮高工,2,0,0,1,3,0,2,14,1,2,0,0,25
,花蓮高中,0,0,2,0,3,4,2,0,1,2,0,1,15
,花蓮高商,1,2,0,0,0,1,2,3,0,2,0,1,12
,花蓮高農,74,2,2,0,3,4,4,17,4,5,0,1,116
,海星高中,1,0,0,0,4,3,3,6,0,2,0,0,19
,國光商工,1,0,0,0,0,0,0,0,0,0,0,0,1
,慈濟附中,0,1,0,0,0,0,0,0,0,0,0,0,1
,體育實驗高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,總計,137,7,7,1,21,20,19,92,12,16,0,6,338
