
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,中華工商,7,0,0,1,1,1,2,15,0,0,0,2,29
,四維高中,7,2,0,0,5,8,3,17,1,1,0,0,44
,玉里高中,26,0,0,0,4,2,0,7,1,0,0,2,42
,光復商工,7,0,0,0,1,0,0,5,1,0,0,0,14
,花蓮女中,0,1,1,0,2,2,0,0,0,0,0,0,6
,花蓮高工,3,0,1,0,0,2,3,17,0,2,0,0,28
,花蓮高中,0,1,1,0,2,4,1,0,0,0,0,0,9
,花蓮高商,0,0,0,0,0,1,1,2,1,1,0,0,6
,花蓮高農,76,0,2,0,2,5,1,15,6,3,0,1,111
,海星高中,0,0,0,0,1,1,1,0,1,1,0,0,5
,國光商工,3,0,0,0,0,0,2,4,0,0,0,0,9
,慈濟附中,0,1,0,0,0,0,0,0,0,0,0,0,1
,體育實驗高中,0,0,0,0,0,1,0,4,0,0,0,0,5
,總計,129,5,5,1,18,27,14,86,11,8,0,5,309
