
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,中華工商,8,0,0,1,2,1,3,15,0,0,0,2,32
,四維高中,7,2,0,0,5,8,3,17,1,1,0,0,44
,玉里高中,26,0,0,0,5,2,0,7,1,0,0,2,43
,光復商工,7,0,0,0,2,1,1,5,1,0,0,0,17
,花蓮女中,0,1,1,0,2,2,0,0,0,0,0,0,6
,花蓮高工,3,0,1,0,0,2,3,16,0,2,0,0,27
,花蓮高中,0,1,1,0,2,4,1,0,0,0,0,0,9
,花蓮高商,1,0,0,0,0,1,0,3,1,1,0,0,7
,花蓮高農,76,0,2,0,2,5,1,14,6,3,0,1,110
,海星高中,0,0,0,0,1,1,0,0,1,1,0,0,4
,國光商工,4,0,0,0,0,0,2,6,0,0,0,0,12
,慈濟附中,0,1,0,0,0,0,0,0,0,0,0,0,1
,體育實驗高中,0,0,0,0,0,1,0,4,0,0,0,0,5
,總計,132,5,5,1,21,28,14,87,11,8,0,5,317
