
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,土庫商工,0,0,1,1,3,3,0,2,0,0,0,1,11
,大成商工,16,2,1,1,9,12,2,29,0,0,0,1,73
,大德工商,86,0,3,1,3,2,2,18,2,0,0,2,119
,文生高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,斗六家商,0,1,3,0,4,0,0,10,0,0,0,1,19
,斗六高中,0,4,1,0,2,0,0,0,0,0,0,0,7
,斗南中學,0,1,0,0,0,0,0,0,1,0,0,0,2
,北港高中,0,1,1,0,3,3,0,2,0,2,0,0,12
,北港農工,35,0,0,0,2,3,1,7,1,1,0,1,51
,巨人中學,0,0,0,1,2,0,0,0,0,0,0,0,3
,正心中學,0,0,1,0,1,0,0,0,0,0,0,1,3
,永年高中,0,1,0,0,0,1,0,0,0,0,0,0,2
,西螺農工,1,3,5,0,1,2,1,7,0,0,0,0,20
,虎尾高中,0,0,0,1,3,1,0,0,0,0,0,1,6
,虎尾農工,68,0,1,1,3,1,0,6,2,2,0,1,85
,麥寮高中,0,2,0,0,1,0,0,0,0,0,0,0,3
,義峰高中,9,0,0,0,3,4,1,6,0,0,0,0,23
,總計,215,15,17,6,41,32,7,87,6,5,0,9,440
