
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,土庫商工,1,0,1,0,3,0,2,1,7,0,0,0,0,15
,大成商工,49,1,0,2,6,0,5,4,86,1,1,0,0,155
,大德工商,98,0,1,0,1,0,2,3,33,6,0,0,0,144
,斗六家商,0,1,3,0,4,0,2,9,9,0,1,0,0,29
,斗六高中,0,0,1,2,2,0,1,2,0,1,3,0,0,12
,斗南高中,0,0,0,0,1,0,0,0,2,0,0,0,0,3
,北港高中,0,1,0,0,2,0,1,0,0,2,0,0,2,8
,北港農工,45,0,1,1,1,0,2,3,15,1,0,0,1,70
,正心中學,0,0,0,0,3,0,3,0,0,0,2,0,0,8
,永年高中,1,0,0,0,0,0,0,0,1,0,0,0,0,2
,西螺農工,2,0,2,0,2,0,3,8,15,1,0,0,0,33
,虎尾高中,0,0,1,0,4,0,1,0,0,0,0,0,5,11
,虎尾農工,82,0,3,1,5,0,1,4,32,6,0,0,0,134
,麥寮高中,0,0,0,0,0,0,0,2,2,0,0,0,1,5
,揚子高中,0,0,0,0,2,0,0,0,1,0,0,0,0,3
,義峰高中,3,1,3,1,2,0,2,3,16,0,0,0,0,31
,福智高中,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,總計,281,4,16,7,38,0,25,39,220,18,7,0,9,664
