
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,土庫商工,0,3,1,1,3,4,0,4,0,0,0,1,17
,大成商工,18,2,1,1,8,12,4,33,0,0,0,0,79
,大德工商,86,0,2,2,3,2,2,23,3,0,0,1,124
,文生高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,斗六家商,0,3,4,0,3,2,1,8,1,0,0,1,23
,斗六高中,0,5,2,0,2,0,0,0,0,0,0,0,9
,斗南中學,0,1,0,0,0,0,0,0,1,0,0,0,2
,北港高中,0,2,1,0,2,3,0,2,0,2,0,0,12
,北港農工,39,0,0,0,1,2,1,15,0,0,0,1,59
,巨人中學,0,0,0,0,1,1,0,0,0,0,0,0,2
,正心中學,0,0,1,0,0,0,0,0,0,0,0,1,2
,西螺農工,0,2,4,1,1,4,0,7,0,0,0,1,20
,虎尾高中,0,0,0,0,4,0,1,0,0,1,0,0,6
,虎尾農工,74,1,2,1,4,1,0,12,1,2,0,1,99
,麥寮高中,0,0,0,0,1,0,0,1,0,0,0,0,2
,揚子高中,0,0,1,0,0,0,0,0,0,0,0,0,1
,義峰高中,10,0,1,0,2,4,0,12,0,0,0,0,29
,總計,227,19,20,6,36,35,9,117,6,5,0,7,487
