
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,土庫商工,0,1,1,1,3,4,0,1,0,1,0,1,13
,大成商工,16,3,1,1,9,13,2,26,0,0,0,0,71
,大德工商,84,0,2,1,3,2,2,18,2,0,0,2,116
,文生高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,斗六家商,0,1,3,0,4,0,0,10,0,0,0,1,19
,斗六高中,0,4,1,0,2,0,0,0,0,0,0,0,7
,斗南中學,0,1,0,0,0,0,0,0,1,0,0,0,2
,北港高中,0,1,1,0,3,3,0,2,0,2,0,0,12
,北港農工,34,0,0,0,2,2,0,7,1,1,0,1,48
,巨人中學,0,0,0,1,2,0,0,0,0,0,0,0,3
,正心中學,0,0,1,0,1,0,0,0,0,0,0,1,3
,永年高中,0,1,0,0,0,1,0,0,0,0,0,0,2
,西螺農工,1,2,5,0,1,2,0,5,0,0,0,0,16
,虎尾高中,0,0,0,1,3,1,1,0,0,0,0,0,6
,虎尾農工,69,0,1,1,3,1,0,6,2,2,0,1,86
,麥寮高中,0,2,0,0,1,0,0,0,0,0,0,0,3
,義峰高中,8,0,1,0,2,4,1,6,0,0,0,0,22
,總計,212,16,17,6,40,33,6,81,6,6,0,7,430
