
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,土庫商工,0,3,1,1,3,4,0,4,0,0,0,2,18
,大成商工,18,2,1,1,8,12,2,33,0,0,0,0,77
,大德工商,82,0,1,2,5,2,3,23,3,0,0,1,122
,文生高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,斗六家商,0,3,4,1,3,2,1,8,1,0,0,1,24
,斗六高中,0,5,2,0,2,0,0,0,0,0,0,0,9
,斗南高中,0,1,0,0,0,0,0,0,1,0,0,0,2
,北港高中,0,2,2,0,2,3,0,1,0,2,0,0,12
,北港農工,40,0,0,0,1,2,0,13,0,0,0,1,57
,巨人高中,0,0,0,0,1,1,0,0,0,0,0,0,2
,正心中學,0,0,1,0,0,0,0,0,0,0,0,1,2
,西螺農工,0,2,4,0,1,4,0,7,0,1,0,1,20
,虎尾高中,0,0,0,0,4,0,1,0,0,1,0,0,6
,虎尾農工,76,1,2,1,4,1,0,11,1,2,0,1,100
,麥寮高中,1,0,0,0,1,0,0,1,0,0,0,0,3
,揚子高中,0,0,1,0,0,0,0,0,0,0,0,0,1
,義峰高中,10,0,1,0,2,4,0,13,0,0,0,0,30
,福智高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,總計,227,19,20,6,38,36,7,114,6,6,0,8,487
