
,教育階段：高中職,製表日期：2018/5/28
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大園國際高中,0,0,1,0,0,0,1,11,8,0,2,0,0,23
,大溪高中,1,0,0,0,0,0,1,1,3,0,1,0,0,7
,大興學校財團法人桃園市大興高中,27,1,1,0,2,1,0,9,49,0,10,0,0,100
,中央大學附屬中壢高中,0,4,3,0,7,2,3,11,3,0,11,0,1,45
,中壢家商,0,1,6,0,3,0,4,2,21,0,3,0,0,40
,中壢高商,74,1,4,2,4,2,3,12,17,8,12,0,0,139
,內壢高中,1,1,2,0,2,0,3,6,10,0,7,0,1,33
,六和學校財團法人桃園市六和高中,0,0,0,0,1,0,2,1,2,0,2,0,0,8
,天主教振聲學校財團法人桃園市振聲高中,2,1,3,1,0,2,3,14,28,1,7,0,1,63
,方曙商工,36,0,0,0,1,1,0,3,10,2,2,0,0,55
,北科附工,85,1,3,0,2,0,1,37,71,5,28,0,0,233
,平鎮高中,0,3,1,0,1,1,0,1,5,0,11,0,4,27
,永平學校財團法人桃園市永平工商高中,18,1,2,1,1,1,2,28,204,3,10,0,0,271
,永豐高中,1,0,0,0,0,0,1,2,5,1,0,0,0,10
,光啟學校財團法人桃園市光啟高中,10,0,1,1,0,0,1,8,51,0,5,0,0,77
,成功工商,71,0,2,1,0,2,1,7,119,6,13,0,0,222
,至善高中,7,1,0,0,1,0,0,2,28,0,3,0,0,42
,武陵高中,0,2,1,1,2,1,7,14,5,0,25,0,0,58
,治平學校財團法人桃園市治平高中,12,1,6,2,5,0,4,30,85,4,6,0,0,155
,南崁高中,0,1,0,1,4,2,0,2,5,1,3,0,0,19
,泉僑學校財團法人桃園市漢英高級中等學校,0,0,0,0,0,0,0,0,2,0,0,0,0,2
,桃園育達學校財團法人桃園市育達高中,18,1,3,0,4,1,6,22,111,1,23,0,1,191
,桃園高中,0,2,5,0,1,2,3,12,6,0,15,0,0,46
,啟英學校財團法人桃園市啟英高中,56,3,2,2,4,0,8,19,183,5,24,0,0,306
,清華學校財團法人桃園市清華高中,70,0,1,1,1,3,3,6,48,7,14,0,0,154
,復旦學校財團法人桃園市復旦高中,0,0,0,1,1,0,0,1,1,0,0,0,0,4
,陽明高中,0,0,4,0,1,2,4,7,3,2,17,0,1,41
,新屋高中,1,0,0,0,0,1,0,0,0,0,1,0,0,3
,新興學校財團法人桃園市新興高中,5,1,3,3,5,3,2,17,88,4,19,0,0,150
,楊梅高中,2,0,0,1,3,3,1,3,8,0,6,0,0,27
,壽山高中,0,2,3,0,1,1,3,12,23,0,9,0,2,56
,臺灣大華學校財團法人桃園市私立大華高中,0,0,0,0,0,0,0,0,1,0,2,0,0,3
,龍潭高中,66,0,0,0,2,0,1,4,36,6,9,0,0,124
,觀音高中,1,0,0,0,1,0,0,2,9,0,9,0,0,22
,總計,564,28,57,18,60,31,68,306,1248,56,309,0,11,2756
