
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,土城高中,0,0,0,0,0,0,0,2,0,0,0,0,2
,六信高中,4,0,1,0,1,0,0,22,0,0,0,0,28
,台南一中,0,4,5,2,6,7,1,2,2,4,0,3,36
,台南二中,0,4,1,0,3,1,3,1,1,0,0,1,15
,台南女中,0,3,4,1,4,5,0,0,1,0,0,0,18
,台南海事,2,1,4,0,0,0,1,20,1,1,0,0,30
,台南高商,42,2,6,0,7,0,1,20,3,5,0,0,86
,光華女中,2,0,1,0,1,2,0,14,1,0,0,0,21
,成大附工,0,0,0,0,1,0,1,5,1,0,0,1,9
,亞洲餐旅,2,0,0,0,1,0,3,31,0,0,0,0,37
,長榮女中,4,1,2,1,2,3,1,10,1,0,0,0,25
,長榮高中,0,0,0,0,4,5,3,11,0,2,0,0,25
,南英商工,6,0,4,2,7,3,1,46,5,0,0,0,74
,南寧中學,0,0,0,0,0,0,0,2,0,0,0,0,2
,家齊女中,0,2,5,0,1,1,2,11,0,0,0,0,22
,崑山高中,4,0,4,0,1,1,6,50,0,0,0,2,68
,慈幼工商,7,0,1,0,1,0,2,61,1,2,0,1,76
,慈濟高中,0,0,0,0,0,1,0,1,0,0,0,0,2
,聖功女中,0,0,0,0,0,0,0,0,1,0,0,0,1
,德光女中,0,0,0,0,1,0,0,1,0,0,0,0,2
,瀛海高中,0,0,0,0,2,0,0,0,0,0,0,0,2
,總計,73,17,38,6,43,29,25,310,18,14,0,8,581
