
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民家商,32,1,3,0,8,1,6,1,20,0,14,0,5,91
,三民高中,0,0,1,0,2,0,3,0,0,1,1,0,0,8
,三信家商,86,0,10,3,16,0,5,8,142,5,30,0,4,309
,大榮高中,16,0,2,1,1,0,2,0,24,1,1,0,0,48
,小港高中,1,0,0,0,0,0,2,1,5,1,0,0,0,10
,中山大學附屬國光高中,1,0,1,0,3,0,1,0,0,0,1,0,1,8
,中山工商,133,3,4,0,8,0,12,7,123,10,18,0,4,322
,中山高中,0,0,0,0,3,0,1,0,0,0,3,0,1,8
,中正高工,5,0,3,0,4,0,2,0,25,0,9,0,0,48
,中正高中,0,0,3,0,1,0,0,0,2,0,2,0,0,8
,中華藝校,1,0,0,0,1,0,0,3,10,0,2,0,0,17
,仁武高中(高中部),0,0,0,0,1,0,1,0,0,0,0,0,0,2
,六龜高中(高中部),4,0,0,0,0,0,1,0,5,0,0,0,0,10
,天主教道明高中,0,0,0,0,0,0,0,1,0,0,1,0,1,3
,文山高中(高中部),1,1,0,0,0,0,1,0,0,1,2,0,0,6
,左營高中,0,0,0,1,3,0,1,0,0,0,4,0,1,10
,立志高中,62,2,3,0,4,0,5,4,126,4,17,0,2,229
,岡山高中,0,0,0,0,2,0,3,0,1,0,1,0,0,7
,岡山農工,40,2,3,1,5,0,2,1,41,3,7,0,1,106
,明誠高中,0,0,0,0,1,0,1,0,1,1,4,0,0,8
,林園高中(高中部),0,0,0,0,1,0,1,0,0,0,0,0,0,2
,前鎮高中,0,1,0,0,3,0,2,0,1,1,2,0,0,10
,海青工商,2,0,2,0,5,0,4,3,19,0,7,0,3,45
,高英工商,42,0,5,1,2,0,3,1,82,0,3,0,2,141
,高苑工商,65,1,0,0,2,0,3,1,51,1,4,0,1,129
,高師附中,0,1,2,1,1,0,3,0,0,0,5,0,0,13
,高雄女中,0,0,1,0,10,0,6,0,0,1,1,0,1,20
,高雄高工,3,0,3,0,8,0,6,5,20,1,17,0,4,67
,高雄高中,0,0,2,1,3,0,4,0,1,0,21,0,1,33
,高雄高商,1,1,3,0,5,0,7,4,9,0,4,0,4,38
,高鳳工家,28,0,2,0,0,0,0,1,4,0,2,0,0,37
,國際商工,1,0,1,0,0,0,1,0,5,0,0,0,0,8
,復華高中,7,0,0,0,2,0,1,1,22,0,3,0,1,37
,普門高中,3,0,0,0,0,0,0,0,0,0,2,0,0,5
,華德工家,10,0,1,0,1,0,1,2,24,0,0,0,0,39
,新光高中,1,1,0,1,1,0,0,0,10,1,2,0,0,17
,新莊高中,0,2,7,0,3,0,8,1,2,1,3,0,1,28
,新興高中,0,0,0,0,1,0,1,0,1,0,2,0,0,5
,楠梓高中,0,0,0,0,2,0,2,1,2,0,0,0,1,8
,瑞祥高中,0,0,1,0,1,0,3,0,0,0,1,0,0,6
,路竹高中(高中部),0,0,0,0,1,0,2,0,1,0,0,0,0,4
,鼓山高中,0,0,0,0,1,0,0,0,0,0,1,0,0,2
,旗山農工,6,0,0,0,1,0,4,0,24,0,1,0,1,37
,旗美高中,1,0,1,0,3,0,1,0,4,0,0,0,0,10
,旗美商工,46,1,2,0,0,0,0,0,13,2,1,0,0,65
,福誠高中,0,0,1,0,0,0,0,0,3,0,2,0,1,7
,鳳山高中,0,2,4,0,6,0,4,0,0,1,5,0,2,24
,鳳山商工,40,1,2,0,9,0,4,0,22,2,9,0,1,90
,鳳新高中,0,3,0,0,2,0,0,0,1,0,2,0,0,8
,樹德家商,55,4,5,1,5,0,6,3,127,5,9,0,1,221
,總計,693,27,78,11,142,1,126,49,973,43,226,0,45,2414
