
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,三育高中,0,0,1,0,0,1,0,0,0,0,0,0,2
,中興高中,0,3,0,0,5,0,1,0,1,2,0,0,12
,五育高中,0,0,0,0,0,3,0,0,1,0,0,0,4
,仁愛高農,4,0,0,0,2,0,0,15,0,0,0,0,21
,水里商工,31,0,2,0,1,2,1,13,2,0,0,0,52
,同德家商,10,1,3,1,3,4,3,38,0,0,0,3,66
,旭光高中,0,0,1,0,0,0,0,1,0,0,0,0,2
,竹山高中,28,0,1,0,3,1,0,6,0,1,0,0,40
,南投高中,1,2,1,0,1,0,0,6,0,0,0,0,11
,南投高商,22,0,0,0,2,2,0,1,3,0,0,2,32
,埔里高工,54,0,0,0,2,1,3,29,3,1,0,0,93
,草屯商工,39,0,2,1,6,3,1,18,1,3,0,0,74
,普台高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,暨大附中,0,2,0,0,3,2,2,7,0,1,0,2,19
,總計,189,8,11,2,29,19,11,134,11,8,0,7,429
