
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三育高中,0,0,1,0,0,0,0,0,1,0,0,0,0,2
,中興高中,2,0,2,0,2,0,1,0,2,1,1,0,0,11
,五育高中,2,0,0,0,1,0,1,2,6,0,1,0,0,13
,仁愛高農,5,0,2,0,0,0,2,0,15,0,1,0,0,25
,水里商工,30,1,2,0,1,0,2,1,20,2,2,0,0,61
,同德家商,14,0,6,0,1,0,4,7,54,0,4,0,0,90
,旭光高中,1,0,0,1,1,0,0,1,0,1,0,0,0,5
,竹山高中,21,0,3,1,0,0,1,0,11,3,2,0,0,42
,南投高中,0,0,1,0,2,0,2,1,8,0,3,0,0,17
,南投高商,37,1,2,0,0,0,1,0,5,2,1,0,0,49
,埔里高工,39,0,2,0,2,0,0,4,29,6,1,0,1,84
,草屯商工,39,0,0,0,4,0,3,4,6,2,7,0,1,66
,普台高中,0,0,1,0,0,0,0,0,1,0,0,0,0,2
,暨大附中,1,1,1,0,3,0,3,1,8,2,0,0,0,20
,總計,191,3,23,2,17,0,20,21,166,19,23,0,2,487
