
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,三育高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,中興高中,0,2,0,0,2,0,0,1,0,0,0,0,5
,五育高中,0,0,0,0,0,1,0,0,1,0,0,0,2
,仁愛高農,1,0,0,0,1,1,0,12,0,0,0,0,15
,水里商工,32,0,2,0,2,1,0,16,1,0,0,0,54
,同德家商,8,1,2,1,2,3,3,45,0,0,0,1,66
,旭光高中,0,0,2,0,0,0,0,1,0,0,0,1,4
,竹山高中,30,0,0,0,3,1,0,10,1,1,0,0,46
,南投高中,0,3,1,0,1,1,0,7,0,0,0,0,13
,南投高商,12,0,0,0,2,1,0,5,0,0,0,4,24
,埔里高工,48,0,0,0,2,3,1,21,2,0,0,0,77
,草屯商工,40,0,2,0,3,1,1,18,2,2,0,0,69
,暨大附中,0,2,0,0,2,3,1,11,0,1,0,0,20
,總計,171,8,9,1,20,17,6,147,7,4,0,6,396
