
,教育階段：高中職,製表日期：2018/3/20
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,中興高中,1,2,2,0,3,1,0,1,0,0,3,0,0,13
,五育高中,2,0,3,0,0,0,0,3,15,0,0,0,0,23
,仁愛高農,1,0,0,0,1,1,1,1,12,0,2,0,0,19
,水里商工,26,0,1,0,0,0,0,0,18,3,0,0,0,48
,同德家商,18,1,4,1,2,0,1,6,41,1,1,0,0,76
,旭光高中,0,0,0,0,0,1,0,0,1,0,1,0,0,3
,竹山高中,30,1,1,0,1,0,2,2,7,3,4,0,0,51
,南投高中,0,0,0,0,1,0,0,6,6,0,4,0,0,17
,南投高商,37,0,0,1,1,0,0,0,2,1,2,0,0,44
,埔里高工,34,0,0,0,0,0,0,2,42,1,4,0,0,83
,草屯商工,35,0,0,0,1,1,0,4,13,0,2,0,0,56
,暨大附中,0,1,1,1,4,1,0,1,10,0,2,0,0,21
,總計,184,5,12,3,14,5,4,26,167,9,25,0,0,454
