
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三育高中,0,0,1,0,0,0,0,1,0,0,0,0,2
,中興高中,1,2,0,0,3,1,1,2,1,3,0,1,15
,五育高中,2,0,0,0,0,1,0,1,0,0,0,0,4
,仁愛高農,3,0,0,0,3,1,0,13,0,0,0,1,21
,水里商工,30,1,1,0,0,1,2,22,6,1,0,0,64
,弘明實驗高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,同德家商,7,1,2,1,5,4,5,37,0,0,0,4,66
,旭光高中,0,0,0,0,0,0,1,1,0,0,0,0,2
,竹山高中,30,0,2,0,2,1,2,7,1,1,0,0,46
,南投高中,0,1,1,0,1,0,0,7,0,0,0,0,10
,南投高商,39,0,1,1,8,2,3,7,3,1,0,0,65
,埔里高工,70,0,0,0,0,2,2,29,8,2,0,0,113
,草屯商工,39,1,0,3,6,2,2,11,2,2,0,0,68
,普台高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,暨大附中,1,3,2,0,4,1,2,6,0,2,0,2,23
,總計,222,9,10,5,32,16,20,146,21,12,0,8,501
