
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,大成高中,11,0,0,0,1,1,0,16,0,1,0,1,31
,大湖農工,18,0,2,0,4,0,0,24,0,1,0,0,49
,中興商工,8,1,0,0,1,1,2,21,0,0,0,0,34
,竹南高中,0,3,0,0,2,1,0,0,0,0,0,0,6
,君毅高中,48,0,1,0,2,1,0,14,2,0,0,1,69
,育民工家,18,0,1,1,2,2,0,18,1,1,0,1,45
,卓蘭實驗高中,0,1,0,1,1,2,0,7,0,0,0,0,12
,建台高中,2,0,0,0,3,4,0,4,1,1,0,0,15
,苗栗高中,0,1,0,0,1,3,0,1,1,1,0,0,8
,苗栗高商,0,1,0,0,3,4,0,9,0,0,0,2,19
,苗栗農工,40,0,5,0,2,2,2,23,2,0,0,0,76
,苑裡高中,0,0,2,0,0,0,0,0,0,0,0,0,2
,賢德工商,7,0,0,0,0,2,0,2,0,0,0,0,11
,縣立苑裡高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,興華高中,1,0,0,0,0,0,0,2,1,1,0,0,5
,龍德家商,59,0,2,0,2,4,1,26,4,0,0,0,98
,總計,212,7,13,2,24,27,5,168,12,6,0,5,481
