
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大成高中,10,0,1,1,2,2,1,14,0,1,0,1,33
,大湖農工,31,0,2,0,2,0,1,30,0,1,0,0,67
,中興商工,9,2,1,0,1,1,0,38,0,0,0,1,53
,竹南高中,0,3,0,0,1,2,0,0,0,1,0,0,7
,君毅高中,46,0,1,0,1,1,0,19,3,0,0,1,72
,育民工家,15,0,1,1,1,2,0,21,1,1,0,1,44
,卓蘭實驗高中,0,1,0,1,2,3,0,5,0,0,0,0,12
,建台高中,2,0,0,0,1,4,1,3,1,2,0,1,15
,苗栗高中,0,2,0,0,1,3,0,2,1,1,0,0,10
,苗栗高商,0,2,1,0,1,4,0,8,0,2,0,1,19
,苗栗農工,46,0,5,0,1,2,1,30,2,0,0,1,88
,苑裡高中,0,0,2,0,1,0,0,0,0,0,0,0,3
,賢德工商,8,0,0,0,0,3,0,3,0,0,0,1,15
,縣立苑裡高中,1,0,0,0,0,0,0,0,0,0,0,0,1
,興華高中,0,0,0,0,1,0,0,3,1,1,0,0,6
,龍德家商,48,0,2,1,0,2,1,19,4,0,0,0,77
,總計,216,10,16,4,16,29,5,195,13,10,0,8,522
