
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大成高中,13,1,1,1,2,1,0,14,0,0,0,1,34
,大湖農工,42,0,1,1,1,0,1,24,1,0,0,0,71
,中興商工,11,3,2,0,0,2,0,44,0,0,0,1,63
,竹南高中,0,2,0,0,1,1,0,1,0,0,0,0,5
,君毅高中,47,0,1,0,1,1,0,18,3,1,0,0,72
,育民工家,19,0,0,2,1,1,0,30,1,1,0,1,56
,卓蘭實驗高中,0,2,0,1,3,3,0,4,0,0,0,0,13
,建台高中,1,0,0,0,1,3,1,1,1,1,0,1,10
,苗栗高中,0,2,1,0,3,1,0,1,0,0,0,1,9
,苗栗高商,0,1,1,0,0,1,0,4,0,2,0,2,11
,苗栗農工,40,0,4,0,1,1,2,33,2,1,0,1,85
,苑裡高中,0,0,1,0,2,0,2,0,1,0,0,1,7
,賢德工商,8,0,0,0,0,3,0,3,0,0,0,1,15
,縣立苑裡高中,1,0,0,0,1,0,0,1,0,0,0,0,3
,興華高中,0,0,0,0,1,0,0,2,0,0,0,0,3
,龍德家商,47,0,2,1,1,1,2,23,3,0,0,0,80
,總計,229,11,14,6,19,19,8,203,12,6,0,10,537
