
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三義高中,0,0,0,0,0,0,0,0,4,0,0,0,0,4
,大同高中,0,0,0,0,0,0,2,0,0,0,0,0,0,2
,大成高中,33,1,0,0,0,0,0,1,16,3,0,0,0,54
,大湖農工,36,0,0,1,0,0,0,1,31,1,1,0,0,71
,中興商工,26,0,1,0,2,0,3,1,67,0,0,0,0,100
,竹南高中,1,0,1,0,1,0,4,0,3,0,3,0,0,13
,君毅高中,51,0,0,0,0,0,5,3,22,3,2,0,0,86
,育民工家,8,0,0,2,1,0,0,0,31,0,1,0,0,43
,卓蘭實驗高中,2,1,0,0,2,0,1,0,15,0,0,0,0,21
,建台高中,2,1,2,0,4,0,1,0,3,0,0,0,0,13
,苗栗高中,0,2,1,0,3,0,1,1,3,0,1,0,0,12
,苗栗高商,2,0,0,0,2,0,2,0,7,1,2,0,0,16
,苗栗農工,38,1,3,0,0,0,1,2,54,3,3,0,0,105
,苑裡高中,0,0,0,0,5,0,1,1,0,1,0,0,0,8
,苑裡高中,1,0,0,0,1,0,0,0,2,0,0,0,0,4
,賢德工商,2,0,0,0,0,0,1,0,5,0,0,0,0,8
,興華高中,0,0,0,0,2,0,1,0,3,0,0,0,0,6
,龍德家商,54,0,0,0,1,0,0,0,25,1,0,0,0,81
,總計,256,6,8,3,24,0,23,10,291,13,13,0,0,647
