
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,大成高中,13,0,0,0,3,1,0,20,0,1,0,0,38
,大湖農工,3,0,1,1,4,0,0,20,0,0,0,0,29
,中興商工,12,0,0,1,2,1,1,22,0,0,0,0,39
,竹南高中,0,1,0,0,1,1,0,0,0,0,0,0,3
,君毅高中,47,0,0,0,5,1,0,10,3,0,0,1,67
,育民工家,23,0,1,1,3,3,0,16,0,0,0,0,47
,卓蘭實驗高中,0,1,0,0,3,0,0,6,0,0,0,0,10
,建台高中,3,0,0,0,3,3,1,3,1,4,0,0,18
,苗栗高中,0,0,0,0,2,2,0,1,1,1,0,0,7
,苗栗高商,0,2,0,0,5,3,0,8,0,0,0,2,20
,苗栗農工,39,0,3,0,1,1,1,16,2,0,0,0,63
,苑裡高中,0,1,0,0,0,1,0,0,0,0,0,0,2
,賢德工商,4,0,0,0,0,0,0,4,0,0,0,1,9
,縣立苑裡高中,0,0,0,0,0,0,0,3,0,0,0,0,3
,興華高中,1,0,0,0,0,0,0,1,1,1,0,0,4
,龍德家商,57,1,1,0,4,3,1,23,2,0,0,0,92
,總計,202,6,6,3,36,20,4,153,10,7,0,4,451
