
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,大成高中,11,0,0,0,1,1,0,15,0,1,0,1,30
,大湖農工,18,0,2,0,4,0,0,24,0,1,0,0,49
,中興商工,7,1,0,0,1,1,1,21,0,0,0,0,32
,竹南高中,0,3,0,0,2,1,0,0,0,0,0,0,6
,君毅高中,48,0,1,0,2,1,0,14,2,0,0,1,69
,育民工家,17,0,1,1,2,2,0,17,1,1,0,1,43
,卓蘭實驗高中,0,1,0,1,1,2,0,7,0,0,0,0,12
,建台高中,2,0,0,0,3,5,0,4,0,1,0,1,16
,苗栗高中,0,1,0,0,1,3,0,1,1,1,0,0,8
,苗栗高商,0,1,1,0,3,4,0,10,0,0,0,3,22
,苗栗農工,37,0,5,0,2,2,2,23,2,0,0,0,73
,苑裡高中,0,0,2,0,0,0,0,0,0,0,0,0,2
,賢德工商,9,0,0,0,0,2,0,2,0,0,0,0,13
,縣立苑裡高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,興華高中,1,0,0,0,0,0,0,2,1,1,0,0,5
,龍德家商,55,0,2,0,2,4,1,25,4,0,0,0,93
,總計,205,7,14,2,24,28,4,166,11,6,0,7,474
