
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大甲高工,71,0,6,0,0,1,0,1,25,1,7,0,1,113
,大甲高中,0,1,2,0,0,0,1,0,5,0,1,0,0,10
,大里高中,1,0,0,0,0,0,1,0,1,0,0,0,0,3
,大明高中,2,1,0,0,3,1,1,4,17,0,7,0,0,36
,中科實中,0,0,1,0,0,0,0,2,0,0,2,0,0,5
,中港高中,0,1,0,0,0,0,0,1,0,0,0,0,0,2
,中興大學附屬高中,1,0,2,0,3,0,0,4,0,1,2,0,0,13
,中興大學附屬臺中高職,79,3,4,0,3,0,0,16,48,6,17,0,1,177
,文華高中,0,5,5,0,4,0,1,5,0,0,4,0,0,24
,弘文高中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,玉山高中,36,0,0,0,0,0,0,1,12,3,3,0,0,55
,立人高中,0,0,0,0,1,0,0,4,0,0,1,0,0,6
,光華高工,0,1,0,0,1,2,0,4,4,0,4,0,0,16
,后綜高中,1,0,1,0,2,0,0,1,2,0,0,0,0,7
,西苑高中,0,0,2,0,1,0,0,5,1,0,0,0,0,9
,沙鹿高工,58,2,2,0,4,1,0,5,30,4,8,0,0,114
,宜寧高中,2,0,0,0,0,0,0,1,0,0,1,0,0,4
,忠明高中,0,0,1,0,1,0,0,0,0,0,3,0,0,5
,明台高中,11,0,2,0,0,0,1,6,38,1,2,0,2,63
,明道高中,1,2,5,0,5,0,1,7,6,0,15,0,0,42
,明德學校財團法人臺中市明德高中,5,0,1,0,2,0,0,2,22,0,6,0,0,38
,東大附中,0,0,0,0,0,0,0,3,0,0,5,0,0,8
,東山高中,0,1,2,0,1,2,0,0,1,1,3,0,0,11
,東勢高工,41,0,2,0,0,0,0,11,33,2,10,0,0,99
,長億高中,0,0,0,0,0,0,0,2,2,0,0,0,0,4
,青年高中,10,1,2,0,1,1,3,12,32,2,5,0,1,70
,致用高中,9,0,1,0,4,1,1,2,21,0,0,0,0,39
,常春藤高中,1,0,0,0,0,0,0,1,0,0,3,0,0,5
,清水高中,0,2,1,0,2,0,0,1,0,0,1,0,0,7
,惠文高中,0,1,1,0,3,1,1,2,0,0,4,0,0,13
,華盛頓高中,0,0,1,0,0,0,0,1,0,0,0,0,0,2
,慈明高中,17,2,1,0,1,1,2,11,30,0,6,0,0,71
,新民高中,3,1,3,0,3,1,2,13,17,0,7,0,0,50
,葳格高中,0,0,0,1,0,0,0,0,1,0,4,0,0,6
,僑泰高中,14,0,3,0,2,1,4,11,31,0,5,0,0,71
,嘉陽高中,19,0,1,1,1,0,2,5,33,0,2,0,0,64
,臺中一中,0,5,8,0,0,2,2,13,0,0,18,0,0,48
,臺中二中,0,1,0,0,1,0,0,5,1,0,0,0,0,8
,臺中女中,0,1,5,0,8,1,0,2,0,1,1,0,0,19
,臺中家商,35,1,2,1,3,3,1,8,11,1,10,0,0,76
,臺中高工,33,1,5,0,3,2,0,28,41,2,15,0,1,131
,曉明女中,0,0,1,0,1,0,0,0,0,0,0,0,0,2
,嶺東高中,1,0,2,1,0,2,0,6,10,0,2,0,0,24
,豐原高中,0,0,0,1,1,0,0,0,0,0,0,0,0,2
,豐原高商,62,2,4,0,6,3,3,3,6,2,2,0,0,93
,霧峰農工,65,0,1,0,2,1,2,7,21,7,10,0,0,116
,總計,578,35,80,5,74,27,29,216,502,34,196,0,6,1782
