
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,文華高中,0,2,7,0,6,5,2,1,0,3,0,1,27
,台中一中,0,7,9,1,5,11,5,0,0,5,0,6,49
,台中二中,0,0,6,1,4,2,0,1,0,1,0,2,17
,台中女中,1,4,4,2,13,7,0,0,1,0,0,4,36
,台中技院附高商進校,1,0,0,0,1,0,0,0,0,0,0,1,3
,台中家商,45,0,8,0,9,5,2,46,2,0,0,1,118
,台中高工,37,2,4,2,4,5,9,85,1,2,0,0,151
,台中高農,83,0,3,0,6,5,10,40,5,4,0,2,158
,光華高工,0,0,0,1,1,3,3,23,0,0,0,0,31
,西苑中學,0,0,0,0,3,2,0,2,0,1,0,0,8
,宜寧高中,0,0,1,1,1,1,2,5,2,0,0,0,13
,忠明高中,0,0,1,0,0,1,0,2,1,2,0,0,7
,明德女中,4,0,3,0,6,7,5,43,1,3,0,1,73
,東大附中,0,0,0,0,1,0,2,0,0,1,0,0,4
,惠文高中,0,0,4,1,4,1,0,1,0,2,0,1,14
,新民高中,0,3,3,0,10,2,4,22,2,2,0,1,49
,曉明女中,0,0,3,0,0,1,0,0,0,0,0,0,4
,嶺東高中,1,3,1,2,6,2,4,28,0,1,0,0,48
,總計,172,21,57,11,80,60,48,299,15,27,0,20,810
