
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,文華高中,0,2,7,0,6,7,2,1,0,3,0,0,28
,台中一中,0,7,10,1,6,11,5,0,1,5,0,6,52
,台中二中,0,0,6,2,5,3,0,1,0,1,0,1,19
,台中女中,1,4,4,2,13,7,0,0,1,0,0,4,36
,台中技院附高商進校,1,0,0,0,1,0,0,0,0,0,0,1,3
,台中家商,45,0,8,0,9,5,2,47,2,0,0,1,119
,台中高工,37,2,4,2,4,5,8,82,1,2,0,0,147
,台中高農,83,0,3,0,6,4,10,39,7,5,0,2,159
,光華高工,0,0,0,1,2,2,3,22,0,0,0,0,30
,西苑高中,0,0,0,0,4,2,0,2,0,1,0,0,9
,宜寧高中,0,0,1,1,2,1,1,5,2,0,0,0,13
,忠明高中,0,0,1,0,0,1,0,2,1,2,0,0,7
,明德女中,4,0,3,0,7,8,4,42,1,3,0,1,73
,東大附中,0,0,0,0,0,0,1,0,0,1,0,0,2
,惠文高中,0,0,4,1,4,1,0,1,0,2,0,1,14
,新民高中,0,3,3,0,10,2,4,21,2,2,0,1,48
,曉明女中,0,0,3,0,0,1,0,0,0,0,0,0,4
,嶺東高中,1,3,1,2,5,2,4,28,0,1,0,0,47
,總計,172,21,58,12,84,62,44,293,18,28,0,18,810
