
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,文華高中,0,3,6,1,5,6,0,0,0,1,0,1,23
,台中一中,0,7,6,0,8,12,2,0,0,5,0,6,46
,台中二中,0,0,9,0,6,2,0,0,0,1,0,1,19
,台中女中,1,4,5,2,8,9,1,0,1,0,0,2,33
,台中技院附高商進校,0,0,0,0,1,0,0,0,0,0,0,1,2
,台中家商,41,0,6,0,10,5,2,45,2,0,0,2,113
,台中高工,37,3,3,3,4,7,4,80,3,5,0,1,150
,台中高農,88,0,4,0,7,7,4,33,5,3,0,1,152
,光華高工,0,0,1,0,1,3,1,11,0,0,0,0,17
,西苑中學,0,0,0,0,2,2,0,0,1,0,0,0,5
,宜寧高中,0,0,3,0,3,1,0,1,2,0,0,0,10
,忠明高中,0,0,0,0,1,1,0,0,1,2,0,0,5
,明德女中,5,1,4,1,5,8,3,32,4,2,0,2,67
,東大附中,0,0,0,0,0,0,3,0,0,0,0,0,3
,惠文高中,0,0,1,1,3,1,1,1,0,2,0,0,10
,新民高中,0,1,2,0,8,2,0,22,2,2,0,2,41
,曉明女中,0,0,2,0,0,2,0,0,0,0,0,0,4
,嶺東高中,0,2,1,2,5,3,4,21,0,1,0,0,39
,總計,172,21,53,10,77,71,25,246,21,24,0,19,739
