
,教育階段：高中職,製表日期：2019/03/20
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大甲高工,70,0,1,0,0,0,0,1,23,1,4,0,0,100
,大甲高中,0,0,3,0,1,1,0,0,0,0,0,0,0,5
,大里高中,0,0,0,0,0,0,0,0,2,0,1,0,0,3
,大明高中,2,0,2,0,1,2,0,6,12,0,2,0,0,27
,中科實中,1,0,0,0,1,0,0,1,0,0,3,0,0,6
,中港高中,0,0,1,0,1,0,0,0,0,0,0,0,0,2
,中興大學附屬高中,1,3,3,0,2,0,0,2,0,0,4,0,0,15
,文華高中,0,4,3,0,3,0,1,4,0,0,3,0,0,18
,弘文高中,0,0,0,0,0,0,1,1,0,0,0,0,0,2
,玉山高中,22,0,0,0,0,0,0,3,7,1,1,0,0,34
,立人高中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,光華高工,0,0,0,0,0,0,0,0,1,0,1,0,0,2
,后綜高中,0,1,0,0,1,1,0,0,0,0,0,0,0,3
,西苑高中,0,1,0,0,0,0,0,0,1,0,1,0,0,3
,沙鹿高工,74,0,6,0,2,1,0,8,34,1,7,0,0,133
,宜寧高中,1,0,2,0,1,1,1,2,2,0,1,0,0,11
,忠明高中,0,0,0,0,0,1,0,2,0,0,3,0,0,6
,明台高中,15,0,0,1,0,1,0,7,35,0,0,0,1,60
,明道中學,4,1,5,3,0,0,0,10,4,0,10,0,0,37
,明德學校財團法人臺中市明德高中,1,0,1,0,0,0,2,5,19,0,1,0,0,29
,東山高中,1,1,1,0,0,0,0,1,0,0,0,0,0,4
,東勢高工,33,0,2,0,1,0,1,10,23,1,5,0,0,76
,長億高中,0,0,0,0,1,0,0,0,1,0,0,0,0,2
,青年高中,5,0,2,0,1,0,0,7,25,0,0,0,1,41
,致用高中,7,0,0,0,0,0,0,0,11,0,2,0,0,20
,財團法人東海大學附屬高級中等學校,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,常春藤高中,0,0,0,0,1,0,0,1,0,0,1,0,0,3
,清水高中,0,1,1,0,0,0,0,1,0,0,2,0,0,5
,惠文高中,0,0,3,0,0,1,0,2,0,0,8,0,0,14
,華盛頓高中,0,0,1,0,0,1,0,0,0,0,0,0,0,2
,華德福大地實驗教育學校,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,慈明高中,14,0,0,0,0,1,0,6,10,0,3,0,0,34
,新民高中,1,0,2,0,1,1,2,12,14,1,8,0,1,43
,新社高中,0,0,1,0,0,0,0,2,4,0,3,0,0,10
,葳格高中,1,0,1,0,0,0,0,2,1,0,0,0,0,5
,僑泰高中,11,0,3,0,0,3,0,16,29,0,5,0,0,67
,嘉陽高中,12,0,2,0,0,1,0,6,23,1,2,0,0,47
,臺中一中,0,3,9,1,1,2,0,9,0,0,26,0,0,51
,臺中二中,0,0,2,0,0,0,0,1,0,0,1,0,0,4
,臺中女中,0,2,5,0,2,0,0,1,0,0,2,0,0,12
,臺中美國學校,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,臺中家商,38,3,3,1,2,5,0,7,16,1,14,0,0,90
,臺中高工,30,1,6,0,4,4,0,25,33,2,36,0,0,141
,衛道高中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,曉明女中,0,1,1,0,0,0,0,0,0,0,0,0,0,2
,興大附農,71,3,7,1,0,1,1,32,34,0,26,0,0,176
,嶺東高中,3,0,2,0,1,0,0,5,8,0,0,0,0,19
,豐原高中,0,2,1,0,1,0,0,2,0,0,1,0,0,7
,豐原高商,70,1,3,0,3,2,0,2,8,2,5,0,1,97
,霧峰農工,57,0,3,0,0,0,0,5,28,2,14,0,0,109
,總計,545,28,88,7,32,30,9,207,408,13,211,0,4,1582
