
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,文華高中,0,3,6,1,5,7,1,0,0,2,0,1,26
,台中一中,0,7,7,0,8,12,2,0,0,5,0,6,47
,台中二中,0,1,9,0,6,2,0,0,0,1,0,1,20
,台中女中,1,4,5,2,8,9,1,0,1,0,0,2,33
,台中技院附高商進校,0,0,0,0,1,0,0,0,0,0,0,1,2
,台中家商,41,0,6,0,10,5,2,46,2,0,0,3,115
,台中高工,37,3,3,3,4,7,4,83,3,5,0,1,153
,台中高農,85,0,5,0,7,7,4,33,5,3,0,1,150
,光華高工,0,0,1,0,1,3,1,11,0,0,0,0,17
,西苑中學,0,0,0,0,2,2,0,0,1,0,0,0,5
,宜寧高中,0,0,3,0,3,1,0,1,2,0,0,0,10
,忠明高中,0,0,1,0,1,0,0,0,1,2,0,0,5
,明德女中,5,1,4,1,5,8,3,32,4,2,0,2,67
,東大附中,0,0,0,0,0,0,3,0,0,0,0,0,3
,惠文高中,0,0,1,1,3,1,0,1,0,2,0,0,9
,新民高中,0,1,2,0,8,3,0,22,3,2,0,2,43
,曉明女中,0,0,2,0,0,2,0,0,0,0,0,0,4
,嶺東高中,0,2,1,2,5,4,4,22,0,1,0,0,41
,總計,169,22,56,10,77,73,25,251,22,25,0,20,750
