
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大甲高工,84,0,4,0,0,0,1,3,25,1,4,0,0,122
,大甲高中,0,1,1,0,0,0,1,2,8,0,1,0,0,14
,大里高中,1,0,1,1,0,0,1,0,1,0,0,0,0,5
,大明高中,2,2,1,1,3,2,3,3,19,1,6,0,0,43
,中科實中,0,0,2,0,0,0,0,1,0,0,1,0,0,4
,中港高中,0,1,0,0,0,0,0,0,2,0,0,0,0,3
,中興大學附屬高中,0,2,2,0,3,1,0,6,0,1,3,0,0,18
,中興大學附屬臺中高職,84,2,5,0,2,1,1,17,44,8,12,0,1,177
,文華高中,0,6,7,0,7,0,4,4,0,0,2,0,0,30
,弘文高中,0,0,0,0,1,0,0,0,0,0,2,0,0,3
,玉山高中,40,0,0,0,0,0,0,0,15,3,7,0,0,65
,光華高工,0,1,0,0,3,0,1,2,5,0,3,0,0,15
,后綜高中,0,0,1,0,2,1,0,1,1,0,0,0,0,6
,西苑高中,0,0,3,0,0,0,0,1,1,1,1,0,1,8
,沙鹿高工,71,2,4,0,3,1,0,9,25,4,4,0,0,123
,宜寧高中,1,0,0,0,0,0,0,3,0,0,1,0,0,5
,忠明高中,0,0,3,0,0,0,0,3,1,1,5,0,1,14
,明台高中,7,0,2,0,0,3,2,6,38,2,2,0,2,64
,明道高中,1,1,2,0,4,0,2,5,11,0,10,0,0,36
,明德學校財團法人臺中市明德高中,3,0,0,0,3,0,0,4,16,1,4,0,0,31
,東大附中,0,0,0,0,0,0,0,3,0,0,4,0,0,7
,東山高中,0,0,1,0,1,1,1,0,1,0,8,0,0,13
,東勢高工,41,1,0,0,0,0,0,12,36,2,5,0,0,97
,長億高中,0,0,0,0,0,0,1,2,1,0,0,0,0,4
,青年高中,16,1,3,0,1,0,5,8,36,4,6,0,2,82
,致用高中,9,0,2,1,8,1,4,1,26,0,0,0,0,52
,常春藤高中,0,0,0,0,0,0,0,1,0,0,1,0,0,2
,清水高中,0,2,2,0,0,0,0,0,0,0,1,0,0,5
,惠文高中,0,1,1,0,4,0,1,3,2,1,6,0,2,21
,華盛頓高中,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,慈明高中,12,2,3,0,1,0,2,12,38,0,5,0,1,76
,新民高中,4,1,2,0,5,0,2,10,12,0,8,0,0,44
,葳格高中,1,0,0,1,1,0,0,2,3,0,3,0,0,11
,僑泰高中,15,0,3,0,4,1,4,11,35,1,4,0,0,78
,嘉陽高中,23,0,3,1,3,0,3,3,39,1,3,0,0,79
,臺中一中,0,5,5,0,3,1,2,10,1,0,15,0,0,42
,臺中二中,0,0,2,0,3,1,2,4,1,0,6,0,0,19
,臺中女中,0,1,1,0,8,0,1,1,0,1,1,0,0,14
,臺中家商,35,2,4,1,3,0,1,5,20,2,8,0,0,81
,臺中高工,41,2,6,1,3,0,0,19,44,2,8,0,1,127
,曉明女中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,嶺東高中,2,0,2,1,0,1,0,4,10,0,3,0,0,23
,豐原高中,0,2,1,1,1,0,0,0,0,0,0,0,0,5
,豐原高商,66,2,3,0,7,3,3,4,13,3,6,0,0,110
,霧峰農工,61,2,2,0,1,0,1,4,23,8,8,0,0,110
,總計,620,42,84,9,89,18,49,190,553,48,177,0,11,1890
