
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大同高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,內埔農工,2,2,2,0,0,2,1,8,0,2,0,0,19
,日新工商,27,0,0,2,11,0,0,5,1,0,0,1,47
,民生家商,10,3,1,1,6,4,0,14,1,2,0,1,43
,佳冬高農,59,0,0,0,0,1,0,12,11,4,0,0,87
,來義高中,1,0,0,0,0,2,0,2,0,0,0,0,5
,枋寮高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,東港海事,2,0,0,0,5,4,1,4,0,1,0,0,17
,屏北高中,1,0,2,0,4,0,0,0,0,2,0,2,11
,屏東女中,0,0,2,0,3,2,0,0,0,0,0,0,7
,屏東高工,88,0,6,0,2,2,1,14,20,6,0,4,143
,屏東高中,1,1,2,0,1,1,0,0,0,2,0,0,8
,屏榮高中,8,1,3,2,7,4,1,4,1,2,0,3,36
,恆春工商,16,1,1,0,2,0,1,2,6,0,0,0,29
,美和高中,2,0,0,0,2,3,0,0,0,0,0,0,7
,華洲工家,40,0,0,0,0,2,0,8,7,0,0,0,57
,新基高中,1,0,2,0,0,0,0,1,0,0,0,0,4
,潮州高中,1,1,1,0,4,0,0,0,0,1,0,0,8
,總計,259,9,22,5,47,28,5,75,47,22,0,11,530
