
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大同高中,0,0,0,0,0,0,0,0,3,0,0,0,0,3
,內埔農工,5,0,0,0,2,0,0,2,27,2,2,0,1,41
,日新工商,40,0,0,0,1,0,0,0,4,2,1,0,0,48
,民生家商,31,0,2,0,0,2,6,2,32,0,4,0,0,79
,佳冬高農,53,1,2,0,1,1,3,1,32,2,9,0,0,105
,來義高中,2,0,0,0,0,0,1,0,1,0,0,0,0,4
,東港海事,13,1,0,0,3,3,1,2,20,0,2,0,0,45
,東港高中,0,0,0,0,0,1,1,0,0,0,0,0,1,3
,屏北高中,0,0,0,0,1,0,2,0,1,1,1,0,0,6
,屏東女中,0,0,0,0,1,1,2,0,0,0,1,0,0,5
,屏東高工,71,1,4,0,1,0,5,3,27,7,15,0,0,134
,屏東高中,0,0,1,0,2,0,1,0,1,0,4,0,0,9
,屏榮高中,7,0,2,0,6,3,5,1,36,3,4,0,0,67
,恆春工商,23,0,0,0,2,1,3,0,9,0,0,0,0,38
,美和高中,0,0,0,0,0,0,1,0,1,0,0,0,1,3
,陸興高中,0,0,0,0,0,0,0,0,2,0,0,0,0,2
,華洲工家,29,1,0,0,0,0,1,0,9,1,2,0,0,43
,潮州高中,0,0,2,0,1,0,3,0,1,0,2,0,0,9
,總計,274,4,13,0,21,12,35,11,206,18,47,0,3,644
