
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,大同高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,內埔農工,1,1,2,0,0,3,0,8,0,2,0,1,18
,日新工商,31,0,0,1,2,1,0,7,7,1,0,3,53
,民生家商,15,4,4,0,3,3,0,20,1,0,0,0,50
,佳冬高農,43,1,1,0,0,0,0,14,9,2,0,2,72
,來義高中,1,0,0,0,0,0,0,5,0,0,0,0,6
,東港海事,1,0,1,0,4,3,1,7,0,1,0,1,19
,屏北高中,0,0,0,0,2,1,0,1,0,0,0,1,5
,屏東女中,0,0,1,0,4,1,0,0,0,0,0,1,7
,屏東高工,68,1,4,1,5,1,0,27,21,3,0,8,139
,屏東高中,0,0,3,0,1,0,0,0,0,1,0,0,5
,屏榮高中,8,0,4,2,6,1,1,17,1,3,0,2,45
,恆春工商,23,1,1,1,4,3,0,9,5,0,0,0,47
,美和高中,1,0,0,0,3,1,0,1,0,0,0,0,6
,陸興高中,0,0,0,0,0,1,0,0,1,0,0,0,2
,華洲工家,36,0,0,1,1,1,0,20,4,2,0,3,68
,新基高中,1,0,0,0,0,0,0,2,0,0,0,1,4
,潮州高中,0,2,0,0,1,0,0,0,0,0,0,1,4
,總計,229,10,21,6,36,20,2,139,49,15,0,24,551
