
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,大同高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,內埔農工,2,1,2,0,0,3,0,11,0,2,0,1,22
,日新工商,34,0,0,2,2,1,0,7,8,1,0,3,58
,民生家商,15,4,4,0,3,3,1,21,1,0,0,1,53
,佳冬高農,44,1,1,0,0,0,0,16,9,2,0,2,75
,來義高中,1,0,0,0,0,0,0,5,0,0,0,0,6
,東港海事,2,0,1,0,4,3,1,7,0,1,0,1,20
,屏北高中,0,0,0,0,2,1,0,1,0,0,0,0,4
,屏東女中,0,0,1,0,5,1,0,0,0,0,0,1,8
,屏東高工,67,1,4,1,5,1,0,25,21,3,0,3,131
,屏東高中,0,0,3,0,1,0,0,0,0,1,0,0,5
,屏榮高中,5,0,4,1,6,1,0,19,1,2,0,8,47
,恆春工商,23,1,1,1,4,4,1,9,3,1,0,0,48
,美和高中,0,0,0,0,2,0,0,1,0,0,0,0,3
,陸興高中,0,0,0,0,0,0,0,0,1,0,0,0,1
,華洲工家,34,0,0,1,0,0,0,19,4,2,0,3,63
,新基高中,1,0,0,0,0,0,0,2,0,0,0,1,4
,潮州高中,0,2,0,0,1,0,0,0,0,0,0,1,4
,總計,228,10,21,6,35,18,3,144,48,15,0,25,553
