
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,內思高工,5,0,2,0,1,0,0,4,31,0,0,0,0,43
,六家高中,0,0,0,0,0,0,0,1,2,0,1,0,0,4
,仰德高中,44,0,0,0,0,0,3,6,41,4,1,0,1,100
,竹北高中,38,2,3,0,4,1,6,9,10,5,7,0,0,85
,竹東高中,0,0,0,0,0,2,2,3,3,0,4,0,0,14
,忠信高中,0,0,0,0,0,0,0,2,3,0,1,0,0,6
,東泰高中,31,1,0,0,1,0,1,0,37,3,1,0,0,75
,湖口高中,2,0,0,0,1,0,3,0,5,0,3,0,0,14
,義民高中,0,0,1,0,3,0,1,2,21,0,2,0,0,30
,誠正中學,7,0,0,0,0,0,0,4,1,0,0,0,0,12
,關西高中,39,0,2,0,2,0,2,5,19,3,7,0,0,79
,總計,166,3,8,0,12,3,18,36,173,15,27,0,1,462
